노선명,역명,총 승차승객수,총 하차승객수
1호선,동대문,11799.548387096775,11316.258064516129
1호선,동묘앞,9605.967741935483,9791.870967741936
1호선,서울역,70805.2258064516,66563.41935483871
1호선,시청,25204.451612903227,25522.354838709678
1호선,신설동,13474.838709677419,12999.483870967742
1호선,제기동,15449.064516129032,15859.322580645161
1호선,종각,39239.32258064516,37801.903225806454
1호선,종로3가,24490.774193548386,22402.064516129034
1호선,종로5가,22944.645161290322,22306.645161290322
1호선,청량리(서울시립대입구),22754.1935483871,22548.322580645163
2호선,강남,79424.51612903226,77120.45161290323
2호선,강변(동서울터미널),25977.225806451614,23662.74193548387
2호선,건대입구,36462.0,38095.6129032258
2호선,교대(법원.검찰청),28309.74193548387,33698.6129032258
2호선,구로디지털단지,53840.8064516129,53373.93548387097
2호선,구의(광진구청),26735.322580645163,26360.1935483871
2호선,낙성대(강감찬),26298.483870967742,25625.41935483871
2호선,당산,16953.548387096773,19108.58064516129
2호선,대림(구로구청),23070.870967741936,23564.90322580645
2호선,도림천,1268.1612903225807,1363.9032258064517
2호선,동대문역사문화공원(DDP),14207.09677419355,16207.032258064517
2호선,뚝섬,22675.225806451614,23905.129032258064
2호선,문래,21776.451612903227,22494.032258064515
2호선,방배,14428.064516129032,14786.677419354839
2호선,봉천,23209.8064516129,22083.451612903227
2호선,사당,40569.1935483871,43670.87096774193
2호선,삼성(무역센터),51591.83870967742,50770.58064516129
2호선,상왕십리,13490.09677419355,13401.032258064517
2호선,서울대입구(관악구청),43766.903225806454,42303.354838709674
2호선,서초,20362.774193548386,19846.129032258064
2호선,선릉,52545.22580645161,45890.25806451613
2호선,성수,50217.645161290326,53283.25806451613
2호선,시청,25124.41935483871,23224.1935483871
2호선,신답,1600.3548387096773,1792.3548387096773
2호선,신당,14475.806451612903,15170.516129032258
2호선,신대방,23481.483870967742,22667.1935483871
2호선,신도림,46065.1935483871,44319.22580645161
2호선,신림,52826.903225806454,51981.83870967742
2호선,신설동,3948.0967741935483,3951.0967741935483
2호선,신정네거리,9629.032258064517,9947.322580645161
2호선,신촌,36045.67741935484,36009.58064516129
2호선,아현,10256.451612903225,9698.322580645161
2호선,양천구청,6383.774193548387,6712.1612903225805
2호선,역삼,46969.22580645161,52088.54838709677
2호선,영등포구청,21854.032258064515,22444.354838709678
2호선,왕십리(성동구청),15178.161290322581,14089.258064516129
2호선,용답,2705.451612903226,2681.6451612903224
2호선,용두(동대문구청),2265.7096774193546,2246.935483870968
2호선,을지로3가,23968.612903225807,24221.387096774193
2호선,을지로4가,13600.612903225807,13353.41935483871
2호선,을지로입구,48932.354838709674,50236.0
2호선,이대,14699.870967741936,15665.41935483871
2호선,잠실(송파구청),77418.48387096774,74731.54838709677
2호선,잠실나루,13418.41935483871,12981.0
2호선,잠실새내,22272.677419354837,21946.354838709678
2호선,종합운동장,7925.645161290323,8690.09677419355
2호선,충정로(경기대입구),9624.225806451614,10273.548387096775
2호선,한양대,8221.677419354839,8669.967741935483
2호선,합정,31082.870967741936,33765.54838709677
2호선,홍대입구,71351.29032258065,74893.51612903226
3호선,가락시장,8707.612903225807,8549.90322580645
3호선,경복궁(정부서울청사),22765.58064516129,22347.935483870966
3호선,경찰병원,7069.1612903225805,7126.741935483871
3호선,고속터미널,49960.93548387097,47255.16129032258
3호선,교대(법원.검찰청),15575.290322580646,8806.612903225807
3호선,구파발,20587.09677419355,19983.483870967742
3호선,금호,7656.580645161291,7227.967741935484
3호선,남부터미널(예술의전당),30118.064516129034,30008.387096774193
3호선,녹번,14028.838709677419,12988.483870967742
3호선,대청,9729.548387096775,9233.58064516129
3호선,대치,12936.90322580645,12385.967741935483
3호선,도곡,5469.806451612903,5431.5161290322585
3호선,독립문,7252.870967741936,7464.8387096774195
3호선,동대입구,9637.387096774193,10467.741935483871
3호선,매봉,11797.838709677419,11294.838709677419
3호선,무악재,3989.0967741935483,3939.2580645161293
3호선,불광,15362.193548387097,16503.645161290322
3호선,수서,17933.8064516129,17586.451612903227
3호선,신사,26308.548387096773,27307.322580645163
3호선,안국,23322.0,24045.74193548387
3호선,압구정,29692.612903225807,31563.25806451613
3호선,약수,12007.322580645161,11740.741935483871
3호선,양재(서초구청),34901.12903225807,36652.709677419356
3호선,연신내,35054.6129032258,33631.1935483871
3호선,오금,6020.064516129032,5512.387096774193
3호선,옥수,8435.870967741936,8691.193548387097
3호선,을지로3가,12301.258064516129,11842.677419354839
3호선,일원,10441.516129032258,10283.58064516129
3호선,잠원,6679.967741935484,6488.645161290323
3호선,종로3가,10282.193548387097,11519.0
3호선,지축,6848.322580645161,6904.5161290322585
3호선,충무로,4.903225806451613,0.0
3호선,학여울,2018.5806451612902,2036.9354838709678
3호선,홍제,17148.516129032258,16477.25806451613
4호선,길음,19871.709677419356,19518.1935483871
4호선,남태령,1302.0,1052.967741935484
4호선,노원,19454.16129032258,21722.90322580645
4호선,동대문,17693.1935483871,18444.612903225807
4호선,동대문역사문화공원(DDP),19098.032258064515,16669.09677419355
4호선,동작(현충원),1624.9354838709678,1659.6451612903227
4호선,명동,33392.87096774193,35397.93548387097
4호선,미아(서울사이버대학),14795.09677419355,14290.774193548386
4호선,미아사거리,24895.451612903227,24768.387096774193
4호선,불암산,8868.838709677419,7749.709677419355
4호선,사당,24671.870967741936,22212.774193548386
4호선,삼각지(전쟁기념관),6786.4838709677415,7939.129032258064
4호선,상계,17911.967741935485,16914.58064516129
4호선,서울역,11670.451612903225,21784.290322580644
4호선,성신여대입구(돈암),21040.25806451613,20408.483870967742
4호선,수유(강북구청),32141.387096774193,32542.25806451613
4호선,숙대입구(갈월),13728.032258064517,13578.064516129032
4호선,신용산,21766.25806451613,23467.290322580644
4호선,쌍문,27385.064516129034,25461.935483870966
4호선,이촌(국립중앙박물관),11043.645161290322,11672.258064516129
4호선,창동,25994.8064516129,27190.451612903227
4호선,총신대입구(이수),18537.774193548386,20055.83870967742
4호선,충무로,27460.25806451613,28396.58064516129
4호선,한성대입구(삼선교),12867.258064516129,12504.774193548386
4호선,혜화,35989.32258064516,35989.354838709674
4호선,회현(남대문시장),25996.09677419355,27259.129032258064
5호선,강동,17943.322580645163,17365.1935483871
5호선,강일,5665.8387096774195,5288.096774193548
5호선,개롱,5992.064516129032,6271.677419354839
5호선,개화산,5717.258064516129,5501.0
5호선,거여,9369.967741935483,9249.645161290322
5호선,고덕,9639.516129032258,9539.58064516129
5호선,공덕,13411.064516129032,14034.774193548386
5호선,광나루(장신대),10239.645161290322,9849.0
5호선,광화문(세종문화회관),31992.774193548386,33048.967741935485
5호선,군자(능동),11607.225806451614,12942.870967741936
5호선,굽은다리(강동구민회관앞),9558.516129032258,9153.322580645161
5호선,길동,8857.387096774193,9069.645161290322
5호선,김포공항,13222.032258064517,8277.677419354839
5호선,까치산,26212.032258064515,25383.516129032258
5호선,답십리,15072.290322580646,13698.290322580646
5호선,동대문역사문화공원(DDP),2981.2258064516127,3367.451612903226
5호선,둔촌동,12730.290322580646,12581.645161290322
5호선,마곡,15364.58064516129,15258.806451612903
5호선,마장,5424.741935483871,5153.193548387097
5호선,마천,6709.258064516129,6132.4838709677415
5호선,마포,13975.516129032258,14240.741935483871
5호선,명일,7708.903225806452,7724.0
5호선,목동,15406.806451612903,16692.870967741936
5호선,미사,17251.548387096773,17347.58064516129
5호선,발산,22862.612903225807,23478.41935483871
5호선,방이,7446.4838709677415,7554.032258064516
5호선,방화,6574.064516129032,6385.032258064516
5호선,상일동,13594.838709677419,13192.483870967742
5호선,서대문,17164.451612903227,17285.516129032258
5호선,송정,5931.677419354839,5693.806451612903
5호선,신금호,5749.580645161291,6143.645161290323
5호선,신길,4653.096774193548,4926.645161290323
5호선,신정(은행정),12680.258064516129,10679.129032258064
5호선,아차산(어린이대공원후문),13721.741935483871,13556.0
5호선,애오개,6458.322580645161,6339.419354838709
5호선,양평,7756.322580645161,7679.032258064516
5호선,여의나루,9711.064516129032,11212.129032258064
5호선,여의도,27227.83870967742,28269.290322580644
5호선,영등포구청,4648.580645161291,4565.290322580645
5호선,영등포시장,11739.709677419354,11810.677419354839
5호선,오금,3403.2580645161293,3447.9032258064517
5호선,오목교(목동운동장앞),20459.322580645163,21458.677419354837
5호선,올림픽공원(한국체대),4817.225806451613,4276.1612903225805
5호선,왕십리(성동구청),4539.8387096774195,5174.1612903225805
5호선,우장산,13727.064516129032,13893.677419354839
5호선,을지로4가,6023.225806451613,6047.8387096774195
5호선,장한평,18857.16129032258,18740.516129032258
5호선,종로3가,14232.709677419354,14238.032258064517
5호선,천호(풍납토성),20211.451612903227,19232.064516129034
5호선,청구,3207.5806451612902,3078.032258064516
5호선,충정로(경기대입구),4612.645161290323,4676.645161290323
5호선,하남검단산,6281.580645161291,5960.419354838709
5호선,하남시청(덕풍·신장),8090.419354838709,7681.419354838709
5호선,하남풍산,4331.225806451613,4326.451612903225
5호선,행당,7475.5161290322585,6733.677419354839
5호선,화곡,27024.25806451613,25400.709677419356
6호선,고려대(종암),7733.903225806452,7444.064516129032
6호선,공덕,17777.1935483871,17231.74193548387
6호선,광흥창(서강),8827.516129032258,8481.0
6호선,구산,7704.225806451613,6321.967741935484
6호선,녹사평(용산구청),4957.354838709677,5118.870967741936
6호선,대흥(서강대앞),8460.290322580646,8839.290322580646
6호선,독바위,2467.3548387096776,2616.2258064516127
6호선,돌곶이,11082.967741935483,10374.58064516129
6호선,동묘앞,8792.612903225807,8792.548387096775
6호선,디지털미디어시티,13273.41935483871,14386.41935483871
6호선,마포구청,13690.516129032258,12636.58064516129
6호선,망원,16064.774193548386,17101.83870967742
6호선,버티고개,2100.548387096774,2108.8387096774195
6호선,보문,7484.064516129032,7035.677419354839
6호선,봉화산(서울의료원),7814.935483870968,7391.064516129032
6호선,불광,4640.258064516129,4116.451612903225
6호선,삼각지(전쟁기념관),7046.5161290322585,6490.129032258064
6호선,상수,10107.032258064517,11125.161290322581
6호선,상월곡(한국과학기술연구원),5844.935483870968,5240.032258064516
6호선,새절(신사),11712.548387096775,11147.709677419354
6호선,석계,11200.161290322581,11625.09677419355
6호선,신내,1.1290322580645162,0.0
6호선,신당,8315.709677419354,8373.225806451614
6호선,안암(고대병원앞),10685.483870967742,10479.774193548386
6호선,약수,3459.6774193548385,3399.548387096774
6호선,역촌,3755.5806451612902,4316.580645161291
6호선,연신내,1.5806451612903225,0.0
6호선,월곡(동덕여대),10535.09677419355,10335.322580645161
6호선,월드컵경기장(성산),3919.967741935484,3986.7096774193546
6호선,응암,16764.387096774193,16707.16129032258
6호선,이태원,11410.516129032258,12521.451612903225
6호선,증산(명지대앞),8746.064516129032,8704.064516129032
6호선,창신,3209.2258064516127,2672.2580645161293
6호선,청구,3541.935483870968,3513.548387096774
6호선,태릉입구,5436.451612903225,5660.8387096774195
6호선,한강진,8970.387096774193,10580.193548387097
6호선,합정,12994.0,12887.41935483871
6호선,화랑대(서울여대입구),9746.354838709678,8206.193548387097
6호선,효창공원앞,7018.709677419355,6370.419354838709
7호선,가산디지털단지,38780.25806451613,38442.87096774193
7호선,강남구청,15039.225806451614,16652.032258064515
7호선,건대입구,13432.677419354839,13881.612903225807
7호선,고속터미널,17632.709677419356,14534.387096774193
7호선,공릉(서울과학기술대),11476.225806451614,11409.612903225807
7호선,광명사거리,20851.709677419356,20757.870967741936
7호선,군자(능동),14783.677419354839,11758.129032258064
7호선,남구로,13950.354838709678,14702.709677419354
7호선,남성,10371.322580645161,10024.645161290322
7호선,내방,13867.032258064517,13936.0
7호선,노원,19856.387096774193,20586.483870967742
