기관,역명,호선,1월 승차인원(명),1월 하차인원(명)
부산교통공사,괴정역,1호선,259711,261429
부산교통공사,교대앞역,1호선,399425,386720
부산교통공사,구서동역,1호선,277260,266121
부산교통공사,남산동역,1호선,153670,147704
부산교통공사,남포동역,1호선,528565,559143
부산교통공사,노포동역,1호선,310443,293500
부산교통공사,당리역,1호선,193174,203744
부산교통공사,대티역,1호선,112819,112692
부산교통공사,동대신동역,1호선,194444,170471
부산교통공사,동래역,1호선,487552,543879
부산교통공사,두실역,1호선,205191,179265
부산교통공사,명륜동역,1호선,303163,313769
부산교통공사,범내골역,1호선,310848,309998
부산교통공사,범어사역,1호선,233249,187950
부산교통공사,범일동역,1호선,444447,453329
부산교통공사,부산대역,1호선,393908,397494
부산교통공사,부산역,1호선,715742,736099
부산교통공사,부산진역,1호선,223085,211895
부산교통공사,부전동역,1호선,505533,533296
부산교통공사,사하역,1호선,132349,119323
부산교통공사,서대신동역,1호선,102638,107659
부산교통공사,서면역,1호선,1120995,1266270
부산교통공사,시청역,1호선,460565,446507
부산교통공사,신평역,1호선,189797,195104
부산교통공사,양정역,1호선,371289,375707
부산교통공사,연산동역,1호선,529527,550201
부산교통공사,온천장역,1호선,483024,490212
부산교통공사,자갈치역,1호선,543097,547479
부산교통공사,장전동역,1호선,310484,311338
부산교통공사,좌천동역,1호선,131564,118340
부산교통공사,중앙동역,1호선,278402,283676
부산교통공사,초량동역,1호선,188661,192775
부산교통공사,토성동역,1호선,245959,238139
부산교통공사,하단역,1호선,559093,510679
부산교통공사,다대포해수욕장역,1호선,142509,117032
부산교통공사,다대포항역,1호선,102943,113154
부산교통공사,낫개역,1호선,143470,147963
부산교통공사,신장림역,1호선,99310,95961
부산교통공사,장림역,1호선,108247,99428
부산교통공사,동매역,1호선,125125,113676
부산교통공사,가야역,2호선,108053,101644
부산교통공사,감전역,2호선,124634,114009
부산교통공사,개금역,2호선,248309,237819
부산교통공사,경성부경대역,2호선,411511,419999
부산교통공사,광안역,2호선,334552,357939
부산교통공사,구남역,2호선,125237,124913
부산교통공사,구명역,2호선,97719,78271
부산교통공사,금곡역,2호선,70714,56798
부산교통공사,금련산역,2호선,243183,267933
부산교통공사,남양산역,2호선,95589,93016
부산교통공사,남천역,2호선,243599,250616
부산교통공사,냉정역,2호선,147360,134536
부산교통공사,대연역,2호선,301854,296116
부산교통공사,덕천역,2호선,155030,216477
부산교통공사,덕포역,2호선,138584,130484
부산교통공사,동백역,2호선,204843,210125
부산교통공사,동원역,2호선,46739,40098
부산교통공사,동의대역,2호선,154766,140715
부산교통공사,모덕역,2호선,62190,57008
부산교통공사,모라역,2호선,143006,127172
부산교통공사,못골역,2호선,148600,152945
부산교통공사,국제금융센터·부산은행역,2호선,152618,160363
부산교통공사,문현역,2호선,154604,144912
부산교통공사,민락역,2호선,109587,104139
부산교통공사,부산대양산캠퍼스,2호선,52507,46163
부산교통공사,부암역,2호선,193653,177696
부산교통공사,사상역,2호선,673207,666353
부산교통공사,서면역,2호선,776424,780088
부산교통공사,센텀시티역,2호선,624735,617481
부산교통공사,수영역,2호선,471703,461225
부산교통공사,수정역,2호선,174562,169929
부산교통공사,양산역,2호선,164397,163115
부산교통공사,율리역,2호선,130155,122237
부산교통공사,장산역,2호선,456603,439768
부산교통공사,전포역,2호선,292848,363727
부산교통공사,주례역,2호선,210306,184686
부산교통공사,중동역,2호선,244264,224540
부산교통공사,지게골역,2호선,77601,77531
부산교통공사,해운대역,2호선,436461,456449
부산교통공사,호포역,2호선,31101,40182
부산교통공사,화명역,2호선,310239,321232
부산교통공사,증산역,2호선,129618,137268
부산교통공사,벡스코,2호선,319730,298242
부산교통공사,강서구청역,3호선,80658,78323
부산교통공사,거제역,3호선,174923,173162
부산교통공사,구포역,3호선,91450,101403
부산교통공사,남산정역,3호선,149915,115639
부산교통공사,대저역,3호선,241323,212829
부산교통공사,덕천역,3호선,360399,334671
부산교통공사,만덕역,3호선,172007,185834
부산교통공사,망미역,3호선,138666,134243
부산교통공사,물만골역,3호선,110774,113534
부산교통공사,미남역,3호선,306925,288860
부산교통공사,배산역,3호선,123750,132980
부산교통공사,사직역,3호선,213624,213201
부산교통공사,숙등역,3호선,127130,122246
부산교통공사,연산동역,3호선,295900,272471
부산교통공사,종합운동장역,3호선,211048,209759
부산교통공사,체육공원역,3호선,29520,28161
부산교통공사,동래역,4호선,67319,71730
부산교통공사,수안역,4호선,121176,125756
부산교통공사,낙민역,4호선,46383,46647
부산교통공사,충렬사역,4호선,100550,105550
부산교통공사,명장역,4호선,89019,85067
부산교통공사,서동역,4호선,69066,72899
부산교통공사,금사역,4호선,52434,46379
부산교통공사,반여농산물시장역,4호선,49559,51605
부산교통공사,석대역,4호선,3817,2716
부산교통공사,영산대역,4호선,72198,70994
부산교통공사,윗반송역,4호선,72536,66998
부산교통공사,고촌역,4호선,16159,13163
부산교통공사,안평역,4호선,54598,52458
,,,0,0
,,,0,0
