지역,매장명,주소,위도,경도
제주,제주애월구엄포구점(미니버전),"제주특별자치도 제주시 애월읍 구엄리 606 , 1층 빽다방",33.4841107382281,126.377485994239
경기,오산공군기지점,경기 평택시 신장동 229-17 2층,37.0825292491684,127.04597641046
경기,광명초교점,경기도 광명시 광명로928번길 16,37.4810933631247,126.857145842792
전북,완주혁신점,"전북특별자치도 완주군 이서면 기지로 47, 103호",35.838708443719,127.057338083519
서울,자양역점,"서울 광진구 뚝섬로34길 67 (자양동, 광진트라팰리스) 1층",37.5316853724558,127.068291454652
서울,종로꽃시장점,서울 종로구 종로 255 (종로5가) 1층,37.5713016685509,127.006139257991
전남,목포활어회플라자점,"전남 목포시 고하대로 641-21 (산정동, 목포 활어회 플라자) 판매동 138호",34.8068418898414,126.365858615656
충청,공주동학사점,충청남도 공주시 반포면 동학사1로 272,36.358712272596,127.238076832103
부산,부산일광신도시점,부산광역시 기장군 일광읍 해빛6로 43-25,35.2653175822866,129.225580346536
경기,부천소사본점,"경기 부천시 소사구 소사본동 82-4, 1층",37.4788108205024,126.795317321254
대구,빽다방 빵연구소 대구서재점,"대구 달성군 다사읍 서재리 781 1층,2층",35.8728530334415,128.489653361859
서울,길음뉴타운점,"서울 성북구 길음로 33 (길음동, 길음뉴타운) 길음뉴타운제비동 제지하2층 9호",37.6050832927232,127.022078590713
강원,원주무극부대점,강원특별자치도 원주시 가현동 5 (군부대內),37.3899726130553,127.944079168525
충청,청주복대대농점,충청북도 청주시 흥덕구 대농로 68(복대동),36.6415194726754,127.429717367893
서울,청계산입구역점,"서울시 서초구 청계산로 217, 1층",37.4463234319275,127.057319631369
경기,안산원곡군자점,"경기 안산시 단원구 화랑로 32 (원곡동, 군자상사) 1층",37.3315714430481,126.795958928259
충남,천안두정대우점,충남 천안시 서북구 두정로 244,36.8331040396485,127.144122810502
전북,김제신풍점,전북특별자치도 김제시 금성로 96 (신풍동),35.7992044631023,126.900725523615
전주,전주아중견훤로점,전주시 덕진구 견훤로 233 (인후동1가) 1층,35.8323805925748,127.158049317283
부산,부산자갈치시장점,"부산 중구 자갈치로 33 (남포동6가, 신천지) 1층",35.0970547948845,129.02783968921
인천,인천가좌가림고점,"인천 서구 원적로 63, 111호",37.4927873268975,126.679969379804
경기,용인고림내안애점,"경기 용인시 처인구 경안천로 120, 1층",37.2425269745234,127.215346249946
경기,안양비산래미안점,"경기 안양시 동안구 관악대로 133, 1층",37.3994131683173,126.938662986594
