지역,매장명,주소,위도,경도
서울,전농동사거리점,서울특별시 동대문구 사가정로 97 (전농동) 1층,37.5766474882444,127.055988010504
경기,파주오두산통일전망대점,경기도 파주시 탄현면 필승로 369 (오두산통일전망대) 4층,37.7730692589013,126.677090033064
인천,인천영종한빛타워점,"인천광역시 중구 쪽빛하늘로 72 (운남동) 한빛타워 106, 107, 108호",37.4775780136785,126.527891582832
서울,홍제역점,"서울특별시 서대문구 통일로 455 (홍제동, 경인주유소) 서울시 서대문구  홍제동 330-61",37.5891287172466,126.943337675172
대구,대구지산광장점,"대구광역시 수성구 용학로 297-7 (지산동) 1,2층 (지산동)",35.8222543580266,128.639852800559
충청,아산CGV점,충청남도 아산시 온천대로 1538 (온천동) 1층 투썸플레이스,36.7801738066545,127.008594976567
서울,강남구청역점,서울 강남구 학동로 335,37.5169881563922,127.039650741179
경남,남해창선점,경남 남해군 창선면 대벽리 15,34.9160569008913,128.030891805424
인천,인천공항세인물류센터점,인천광역시 중구 자유무역로 25 (운서동),37.4808397517342,126.482851620028
세종,세종신흥점,세종특별자치시 조치원읍 신흥리 166-11,36.5921281385542,127.28782769762
인천,인천영종운서점,인천광역시 중구 햇내로28번길 10,37.4910536213316,126.498497610341
충청,내포신도시점,충청남도 홍성군 홍북읍 홍학로 91 (내포마트) 1층 투썸플레이스,36.6471745997714,126.675952599324
경기,판교봇들마을점,경기 성남시 분당구 삼평동 721 스타식스코아 1층 101~103호,37.4036997262587,127.115686897446
충청,청주산남중앙점,충청북도 청주시 서원구 산미로 95 (산남동) 투썸플레이스,36.6059770015448,127.470952826234
인천,인천계양구청점,인천광역시 계양구 계산동 1081-9,37.5357641689222,126.736871545553
대구,대구시지욱수천점,대구 수성구 신매동 88-5,35.8351545578097,128.712028402906
대구,군위서부네거리점,대구광역시 군위군 군위읍 도군로 2708 1층,36.2411019769261,128.56686906409
광주,광주상무메이루즈점,"광주광역시 서구 시청로 27, 1층 129호",35.1509214524007,126.850836268734
광주,광주운천호수공원점,광주광역시 서구 마륵복개로 149,35.1473269064835,126.853411954706
인천,인천효성점,"인천광역시 계양구 새벌로 112, 1층 108호 (효성동, 마스터즈)",37.5270633756744,126.717512850295
경기,서정리역점,"경기도 평택시 정암로 31 (이충동, 평택고덕코아루더블루시티) 101,102,103호",37.0570717695144,127.057442171984
서울,신림녹두거리점,서울 관악구 신림로 127,37.4708080284167,126.935250407313
서울,명동역점,"서울특별시 중구 퇴계로 108 (회현동3가, 세대빌딩) 1층 투썸플레이스",37.5604912778834,126.983733628489
서울,보라매역점,"서울특별시 영등포구 여의대방로 145 (신길동, 세인트빌딩)",37.5002104691442,126.919990345257
경기,안산각골공원점,경기도 안산시 상록구 각골로 63 (본오동) 1층,37.2951870894765,126.872431520616
광주,광주상무천변점,광주광역시 서구 내방로 11 (치평동) (치평동 1002),35.1592377183523,126.842060354023
대구,대구대곡역점,"대구광역시 달성군 화원읍 비슬로 2685 1,2층 투썸플레이스",35.7475819641478,128.407082014862
경기,수원덕산병원점,경기도 수원시 권선구 서부로 1664 (고색동) 수원덕산병원 지하 1층,37.2576303644698,126.975497703081
전북,부안격포점,전북특별자치도 부안군 변산면 변산해변로 147 (부안 격포리 113),35.6376334280128,126.463893756097
경기,부천옥길점,"경기도 부천시 옥길로 110-11, 1층 104,105,106,107호(옥길동)",37.4664728369712,126.823095917525
울산,울산태화루점,울산 중구 태화로 287,35.5544565318933,129.306441431349
울산,울산송정점,"울산광역시 북구 박상진11로 1 (송정동, 인터메디타워) 1층",35.6003005616563,129.36381036785
울산,울산삼산본동점,울산광역시 남구 남중로 100 (삼산동) 1층,35.5431509616291,129.348456386751
인천,인천검단법원점,"인천광역시 서구 서로3로 106 (당하동) 106, 107, 202, 203호",37.5892149380137,126.707624972838
경상,마산합성산호천점,"경상남도 창원시 마산회원구 양덕옛3길 37 (합성동, 마산학원) 1층",35.235553875445,128.58148866763
고양,덕양푸른마을점,고양시 덕양구 푸른마을로 34-11,37.710274343444,126.906060086871
경기,용인신갈DI점,경기도 용인시 기흥구 중부대로 248 (영덕동) 투썸플레이스,37.2701809315175,127.094962160828
서울,순천향대학교서울병원점,"서울특별시 용산구 대사관로 59 (한남동, 순천향대학병원) 본관 1층",37.5342808357653,127.003878033451
인천,인천삼산사거리점,"인천광역시 부평구 평천로 398 (삼산동, 에스엠 메디칼 프라자) 103, 104, 105호",37.5171973401761,126.734487128142
