지점ID,매점명,주소,전화번호,위도,경도
288582,대치학원가점,서울 강남구 도곡로77길 8 1층 101호,,37.4989027599748,127.058651148727
288411,울산달동사거리점,"울산 남구 중앙로 158 101동 1층 101호(달동, 쁘띠팔레드 시티)",052-266-8899,35.5352460160283,129.314298119232
288012,대전청사점,"대전 서구 둔산중로134번길 21 (둔산동, 만금프라자)",042-487-7779,36.3590224188164,127.388135966282
288010,고성봉포점,강원특별자치도 고성군 토성면 봉포4길 14 1층,,38.2531791696338,128.562126162218
287022,전남무안농협본점,전남 무안군 무안읍 무안중앙로 105 (교촌리),061-454-1581,34.993649911715,126.4705072003
286798,경남고성점,경남 고성군 고성읍 동외로 170 1층,,34.9763331621629,128.3262828057
286778,포천이동점,경기 포천시 이동면 화동로 2112 (장암리),031-531-5413,38.0362471528195,127.366889345856
286777,인천남동구청점,"인천 남동구 장승로 17 3동 103호, 104호(만수동, 창대장터상가)",070-4324-3929,37.4462379806284,126.734861278948
286688,서초우성점,서울 서초구 사임당로 181 1층 101호,,37.4930381253974,127.02932311263
286609,어린이대공원정문점,서울 광진구 능동로 237 1층(군자동),02-6949-6226,37.5513250013994,127.076101717325
285684,광명센트럴아이파크점,"경기 광명시 광이로 49 상가동 101호(광명동, 광명센트럴아이파크)",070-4797-0771,37.4817514533933,126.858338072611
285679,수지동천점,경기 용인시 수지구 동천로 39 코아프라자 1층,,37.3403978536249,127.098664965577
285676,춘천강원대이룸관점,"강원특별자치도 춘천시 강원대학길 1 이룸관동 1층(효자동, 강원대학교)",033-256-5360,37.8679956160244,127.74837984446
285550,울산유곡점,울산 중구 종가3길 20 1층 일부호(우아동3가),070-8680-1225,35.5606006939026,129.296618985473
285543,전주대자인병원점,전북특별자치도 전주시 덕진구 견훤로 380 1층 일부호(우아동3가),063-242-0111,35.8451436167884,127.153488170715
285537,전북사대부고점,전북특별자치도 전주시 덕진구 조경단로 105 1층 102호(금암동),,35.8436311497035,127.138406462181
285529,삼성디스플레이아산2(A2)점,충남 아산시 탕정면 탕정로 380-2 A2공장동 1층 (삼성디스플레이 아산2캠퍼스 일반산업단지A1-2 (A2사무동 동편로비)),,36.8191879482132,127.063361951565
285523,창원럭키반림점,"경남 창원시 성산구 반송로 107 제일반상가동 1층 3-1호(반림동, 럭키반림아파트)",055-266-3286,35.238102742131,128.668032422537
284198,광화문시대점,서울 종로구 사직로8길 42 102-1호,,37.5737729016185,126.973125723031
284197,수원당수성산타워점,경기 수원시 권선구 당수로 124 성산타워 106호(당수동),031-406-9234,37.2851541249191,126.943074268597
284196,용인동백이마트사거리점,"경기 용인시 기흥구 동백죽전대로 455-11 455-11, 1층 B236호",,37.2909219365324,127.149368629633
284082,명지전문대점,서울 서대문구 가좌로 140 (홍은동),02-304-2291,37.5845714538091,126.92415926898
284081,수원성빈센트병원점,경기 수원시 팔달구 중부대로 80 상가2동 1층 22호,070-4334-3900,37.2757960248275,127.024799425288
283937,정선사북점,강원특별자치도 정선군 사북읍 사북중앙로 22 (사북리),033-592-1961,37.2267829495316,128.817172366943
283936,거제한화오션남문점,경남 거제시 거제대로 3447-1 (아주동),,34.8674019580995,128.693260106476
283935,전남무안청계농협점,"전남 무안군 청계면 영산로 1685 (도림리, 청계농협)",061-452-5605,34.9093844706829,126.429400528428
283934,순천조례명성점,전남 순천시 조례신대길 37 1층 외 1필지,,34.9618172185418,127.517819988157
283933,광주산수그린점,광주 동구 동계로 38 121동 지하 1층 18호,062-232-2111,35.1555703786685,126.925684297632
282667,안산서울예대점,경기 안산시 단원구 예술대학로 161 제1층 제104호(고잔동),031-8042-4769,37.3312596849935,126.838741670573
282662,대부도점,경기 안산시 단원구 대부황금로 1516-15,070-7799-3104,37.2879571078245,126.57684445323
282660,전남담양터미널점,전남 담양군 담양읍 중앙로 24 1층,061-382-4438,35.3152727836475,126.98366225167
282406,진해웅동로점,경남 창원시 진해구 웅동로 42-5 2층,055-546-4153,35.1244060982797,128.781952075891
282170,파주운정역점,경기 파주시 운정역길 384-8 (야당동),,37.7249237762929,126.767865631367
282159,광주비아호반점,"광주 광산구 비아로 185 1층 상가 102동 101호, 102호",062-952-0394,35.2231000684111,126.823890442342
281466,안산시곡점,경기 안산시 상록구 감골1로 33 104호,,37.2879591681789,126.851724681711
281465,순천금당점,전남 순천시 해룡면 장선배기길 284 상가동 1층 104호(청솔아파트),061-903-9409,34.9450955631547,127.530318717815
281464,통영동피랑점,경남 통영시 통영해안로 347,,34.8449910791831,128.425551905883
281244,강서가로공원점,"서울 강서구 가로공원로 191 1층 101호(화곡동,류성빌딩)",,37.5374069899716,126.837150022899
281243,광주하남산단입구점,광주 광산구 용아로 450 1층 104호,062-419-9782,35.1834830600913,126.805181445461
280628,성남을지대후문점,경기 성남시 수정구 수정로578번길 28 1층 (양지동),031-733-7994,37.4618066435475,127.166258252493
280627,서초구청점,서울 서초구 남부순환로347길 24 1층 대림빌딩,,37.4855211146477,127.031738016007
