지점명,주소,위도,경도
이천안흥점,"경기 이천시 구만리로 191  (안흥동, 이천 롯데캐슬 골드스카이) 롯데캐슬 1층 상가 102호",37.2742845095068,127.454478138184
강변역점,서울 광진구 구의동 587-62,37.535914044506,127.092042045377
파주운정산내점,경기 파주시 청암로17번길 59  (목동동),37.7285952440312,126.734133145912
대전송촌점,대전 대덕구 송촌북로16번길 44  (송촌동),36.36452608144,127.438977234877
합정역점,"서울 마포구 합정동 413-13  1,2층",37.5486634795099,126.916219252939
부산명지점,"부산 강서구 명지국제8로10번길 38  (명지동) 1층 116,117호",35.0943776683714,128.903500417281
순천 신대점,"전남 순천시 해룡면 좌야로 150  (신대리, 중흥에코시티7단지) 711동 120호",34.9379719428639,127.547094517768
신구대점,경기 성남시 중원구 광명로 355  (금광동),37.4464580004415,127.165159625151
성남은행점,경기 성남시 중원구 산성대로 532  (은행동),37.4581244810674,127.16477849662
파주다율점,경기 파주시 청암로 75  (다율동) 상상메디컬프라자 109호,37.7348219678977,126.733035758383
수원 권선점,경기 수원시 권선구 세권로 188  (권선동) 1층,37.2553907761566,127.024719803178
동해터미널점,강원 동해시 항골길 94  (천곡동),37.5257923737629,129.097531763872
청주율량주성점,충북 청주시 청원구 주성로 295  (주성동),36.6701189294746,127.499042509365
홍대점,서울 마포구 독막로7길 60  (서교동),37.5503037491009,126.920256069177
인천 테크노밸리점,인천 부평구 주부토로 236  (갈산동),37.5158580433375,126.726800852864
구로 헤리움점,서울 구로구 중앙로 18  (고척동)  1층 106,37.4995625059278,126.864595226568
세종새롬점,"세종특별자치시 새롬중앙로 59  (새롬동, 새롬빌딩)",36.486072150969,127.250314741762
의정부 고산점,경기 의정부시 바대논길 104  (고산동),37.7350434004274,127.109989339006
대전가양보건대점,대전 동구 우암로326번길 16  (가양동),36.3479198366832,127.451859842362
소하2동점,"경기 광명시 오리로 346  (소하동, 행운드림프라자)  1층 112호",37.4332803049646,126.879772772494
전북대점,전북 전주시 덕진구 덕진동1가 664-6  원플러스 제1층 115호,35.8448777392746,127.125892910832
금천 롯데캐슬점,"서울 금천구 시흥대로 315  (독산동, 금천롯데캐슬골드파크4차)",37.4609911113644,126.896265163559
구미역점,경북 구미시 원평동 129-15,36.1292707658903,128.332135472657
보령점,충남 보령시 동대동 502-18,36.3463442216876,126.607250041971
용인 보정점,"경기 용인시 기흥구 죽전로 53  (보정동, 야후빌딩)",37.3207383262377,127.114666753616
진주경상대점,경남 진주시 가좌길 17  (가좌동),35.1560911153299,128.105645233374
김포 사우점,"경기 김포시 사우중로 51  (사우동, 메가라인)",37.6197218365919,126.718865431576
동탄 반송점,"경기 화성시 동탄문화센터로 65  (반송동, 에이스타운)",37.1999911944075,127.072588019652
화정 로데오점,"경기 고양시 덕양구 화신로 263  (화정동, 브릿지타워(BRIDGE TOWER)) 113호",37.6304520761468,126.832048913118
광주 용산점,"광주 동구 용산3길 17  (용산동, 모아엘가 에듀파크) 109호",35.1181854355772,126.926839518452
거제고현점,경남 거제시 서문로 66  (고현동) 청암빌딩 101호,34.8894800411836,128.623054763578
여주 오학점,경기 여주시 보뜰1길 2  (오학동),37.3027968793356,127.646472959798
