매장명,주소,지역,위도,경도
북창,"서울 중구 남대문로1길 60 (북창동, 문치과빌딩)",서울,37.5636747018255,126.977790455377
염창,"서울 강서구 양천로 723 (염창동, 성우빌딩)",서울,37.5495252417773,126.876367234255
구로태평양물산,"서울 구로구 디지털로31길 12 (구로동, 태평양물산) 102동1호",서울,37.4851756855256,126.894869839407
선릉역,"서울 강남구 테헤란로 422 (대치동, KT타워)",서울,37.5053202922409,127.052862629563
원더스 강남,"서울 서초구 강남대로 373 (서초동, 홍우빌딩)",서울,37.4959829346636,127.028010119934
왕십리민자역사,"서울 성동구 왕십리광장로 17 (행당동, 왕십리민자역사), 왕십리광장 1층",서울,37.5614417528647,127.038394194396
양재사옥,"서울 서초구 남부순환로 2620 (양재동, 강남피타워)",서울,37.484522966337,127.037325442562
고덕역,"서울 강동구 동남로73길 17 (명일동, 우진빌딩)",서울,37.5527505555431,127.15507536373
테크노마트,서울 광진구 광나루로56길 85 (구의동),서울,37.535725176732,127.095692162256
암사역,서울 강동구 올림픽로 775 (암사동),서울,37.5503817811933,127.127315684764
등촌,"서울 강서구 공항대로 335 (등촌동, 경왕빌딩)",서울,37.5582028449804,126.844922731223
청담,"서울 강남구 삼성로 651 (삼성동, 래미안 라클래시)",서울,37.5183513056476,127.050036535644
응암역,"서울 은평구 은평로 85 (응암동, CJ드림시티) A-101",서울,37.5996048037882,126.917361151423
영등포역사,"서울 영등포구 경인로 846 (영등포동, 영등포 민자역사) 3층",서울,37.5156680341198,126.907665995469
중앙대병원,"서울 동작구 흑석로 102 (흑석동, 중앙대학교병원) 지하1층 109-1호",서울,37.506038005044,126.960421779226
방송통신대,"서울 종로구 대학로 86 (동숭동, 한국방송통신대학교) 소비자협동조합1층",서울,37.5791954862382,127.003290880975
중앙보훈병원,"서울 강동구 진황도로61길 53 (둔촌동, 중앙보훈병원)",서울,37.5284637471127,127.147925555901
광운대역,"서울 노원구 석계로 98-2 (월계동, 광운대역)",서울,37.6230335564713,127.06176348127
사당,"서울 동작구 사당로 236 (사당동, 제일약국) 광산빌딩1층",서울,37.483168853156,126.97377757447
올림픽공원,"서울 송파구 올림픽로 378 (방이동, 세민빌딩)",서울,37.5169764449194,127.112141746672
센트럴시티K,"서울 서초구 신반포로 176 (반포동, 센트럴시티빌딩) 102호",서울,37.5039351769908,127.002413006799
쌍문역,"서울 도봉구 도봉로 468 (창동, 홍일빌딩) 101",서울,37.6473861862855,127.034372618396
연대동문회관,"서울 서대문구 연세로 50 (신촌동, 연세대학교)",서울,37.5660508394158,126.943916239886
양재중앙,"서울 서초구 동산로 54 (양재동, 시온빌라)",서울,37.4714666994281,127.044865602025
중계브라운스톤,"서울 노원구 동일로203가길 29 (중계동, 브라운스톤중계)",서울,37.6398759609875,127.06428375943
창동하나로,"서울 도봉구 마들로11길 20 (창동, 하나로클럽마트)",서울,37.655110585923,127.050831341385
먹골역,서울 중랑구 동일로 918 (묵동),서울,37.6123842054697,127.077680213483
노원KT,서울 노원구 노해로 502 (상계동) 103호,서울,37.6544500497108,127.063692307584
약수역,서울 중구 다산로 128 (신당동) 1층,서울,37.5550288616317,127.011080288901
공릉역,"서울 노원구 동일로 1078 (공릉동, 대경상운) 1층",서울,37.6261419906738,127.073066569824
시청역,"서울 중구 세종대로 93 (태평로2가, 광학빌딩) 1층",서울,37.5647034150206,126.976627149878
광장,"서울 광진구 아차산로 502 (광장동, 진넥스 오딧세이) 113호",서울,37.5413567898085,127.097232342773
구파발역,"서울 은평구 진관2로 15-40, 4호(진관동, 구파발역환승센터)",서울,37.6380846090453,126.919141184408
동대문푸르지오시티,"서울 동대문구 왕산로 86, 1층 103호(용두동)",서울,37.5777504650845,127.032477193881
마들,"서울 노원구 동일로 1541 105호(상계동, 주공아파트종합상가)",서울,37.6656742727167,127.05705028385
용산센트럴,"서울 용산구 한강대로 95, 지하1층 비111호(한강로2가)",서울,37.5288173852679,126.966653789116
역삼GS타워,"서울 강남구 논현로 508 (역삼동, GS강남타워)",서울,37.5019949322814,127.037336400239
동대문시장,"서울 종로구 종로 266 (종로6가, 동대문종합시장)",서울,37.5707064933341,127.007328677369
뉴코아강남,"서울 서초구 잠원로 69 (잠원동, 킴스클럽)B1층",서울,37.5102605018374,127.006970780391
서울대병원,"서울 종로구 대학로 101 (연건동, 서울대학교병원) 지하 1층 1호",서울,37.5804523853297,126.997196437908
