브랜드명,지역,매장명,주소,위도,경도
이디야,제주,제주중문점(X),제주특별자치도 서귀포시 중문관광로 42 1층(색달동),33.2549005523668,126.40977029065
이디야,제주,제주중문점,제주특별자치도 서귀포시 중문관광로 42 (색달동) 1층(색달동),33.2549005523668,126.40977029065
스타벅스,제주,제주신화월드R,제주특별자치도 서귀포시 안덕면 서광리 산24,33.3068460968274,126.317477950826
던킨도너츠,제주,제주신화월드,제주특별자치도 서귀포시 안덕면 서광리 산 24,33.3068460968274,126.317477950826
하삼동커피,대구,대구동천점,대구광역시 북구 대천로 85 하삼동커피,34.220389,70.3800314
하삼동커피,대구,대구연경점,대구광역시 동구 동화천로 403 104호,34.220389,70.3800314
하삼동커피,대구,대구율하점,대구광역시 동구 안심로16길 47,34.220389,70.3800314
하삼동커피,경남,통영미수점,경상남도 통영시 미수해안로 48,34.220389,70.3800314
컴포즈커피,전남,고흥녹동점,전라남도 고흥군 도양읍 비봉로 167 102호,34.5264361124237,127.135342479737
컴포즈커피,전남,고흥녹동점,전라남도 고흥군 도양읍 비봉로 167 (봉암리),34.5264361124237,127.135342479737
투썸플레이스,전남,여수루지파크점,"전라남도 여수시 소라면 안심산길 155 (죽림리) N동,6층",34.7479095015878,127.641463543146
더벤티,전남,여수유월드점,전라남도 여수시 소라면 안심산길 155 (죽림리) 1층,34.7479095015878,127.641463543146
투썸플레이스,전남,여수이마트점,"전라남도 여수시 좌수영로 277 (오림동,이마트) 1층",34.7579263758966,127.714989373441
던킨도너츠,전남,여수이마트,"전라남도 여수시 좌수영로 277 (오림동, 이마트)",34.7579263758966,127.714989373441
이디야,전남,여수거북공원점,전라남도 여수시 흥국로 32 1층,34.7628759270893,127.6659860749
이디야,전남,여수쌍봉점,전라남도 여수시 흥국로 32 1층 (학동),34.7628759270893,127.6659860749
이디야,전남,무안남악롯데마트점,전라남도 무안군 삼향읍 남악로162번길 80 2층,34.8036160875165,126.464690943532
던킨도너츠,전남,무안남악롯데마트,"전라남도 무안군 삼향읍 남악로162번길 80 (남악리), 1층",34.8036160875165,126.464690943532
빽다방,전남,목포중흥S클래스점,전라남도 목포시 비파로 96 (상동) 110호,34.8069916227389,126.42455219043
메머드커피,전남,목포하당점,"전라남도 목포시 비파로 96, 1층 113호(상동)",34.8069916227389,126.42455219043
빽다방,전남,목포북항골든점,"전라남도 목포시 원산중앙로 10, 1층 105호(산정동, 한성골든빌)",34.8070468526176,126.374318981174
하삼동커피,전남,목포북항점,전라남도 목포시 원산중앙로 10 1층,34.8070468526176,126.374318981174
메가커피,전남,목포옥암코아루점,"전라남도 목포시 당가두로 18, 102호(옥암동)",34.8079787670196,126.437903215278
빽다방,전남,목포옥암점,"전라남도 목포시 당가두로 18, 옥암지구 1호공원 앞",34.8079787670196,126.437903215278
더벤티,전남,목포용해점,전라남도 목포시 용해지구로 61 (연산동) 107호,34.8181454383539,126.392662356752
던킨도너츠,전남,목포용해,전라남도 목포시 용해지구로 61 (연산동),34.8181454383539,126.392662356752
컴포즈커피,경남,홈플러스거제점,"경상남도 거제시 장평로 12 (장평동, 디큐브백화점)",34.8910558081136,128.616402009975
디저트39,경남,거제홈플러스점,"경상남도 거제시 장평로 12 (장평동, 디큐브백화점) 지하1층",34.8910558081136,128.616402009975
파스쿠찌,경남,거제디큐브백화점,"경상남도 거제시 장평로 12 (장평동, 디큐브백화점)",34.8910558081136,128.616402009975
던킨도너츠,경남,거제고현,"경상남도 거제시 장평로 12 (장평동, 디큐브백화점) 지하 1층",34.8910558081136,128.616402009975
메가커피,경남,거제옥포대첩로점,"경상남도 거제시 옥포대첩로 45 (옥포동, 건웅데파트)",34.8941251545205,128.692516019801
하삼동커피,경남,거제옥포점,경상남도 거제시 옥포대첩로 45 상가동 1층 4호,34.8941251545205,128.692516019801
컴포즈커피,전남,목포대점,전라남도 무안군 청계면 승달산길 24 (도림리),34.909302210488,126.432333901624
공차,전남,목포대점,"전라남도 무안군 청계면 승달산길 24, 상가동 1층 101호",34.909302210488,126.432333901624
메가커피,전남,순천오천골드점,"전라남도 순천시 오천6길 24 (오천동, G-Place 오)",34.9332491289383,127.494535210041
컴포즈커피,전남,순천오천점,전라남도 순천시 오천6길 24 110호,34.9332491289383,127.494535210041
메가커피,전남,광양성호점,"전라남도 광양시 광장로 70 (중동, 성호2차아파트)",34.9333229356159,127.690269917349
컴포즈커피,전남,광양중마성호점,전라남도 광양시 광장로 70 아파트상가 빅마트 옆,34.9333229356159,127.690269917349
더벤티,전남,순천신대점,"전라남도 순천시 해룡면 좌야로 150 (신대리, 중흥에코시티7단지) 1층",34.9379719428639,127.547094517768
디저트39,전남,순천 신대점,"전라남도 순천시 해룡면 좌야로 150 (신대리, 중흥에코시티7단지) 711동 120호",34.9379719428639,127.547094517768
메가커피,전남,순천금당점,"전라남도 순천시 해룡면 장선배기길 284 , 1층",34.9450955631547,127.530318717815
컴포즈커피,전남,순천금당점,전라남도 순천시 해룡면 장선배기길 284 상가동 1층 104호(청솔아파트),34.9450955631547,127.530318717815
스타벅스,전남,광양LF,"전라남도 광양시 광양읍 덕례리 1834 광양LF스퀘어, 1층",34.96258270352,127.567498778469
스타벅스,전남,광양LF스퀘어3F,전라남도 광양시 광양읍 덕례리 1834 광양LF스퀘어 3층,34.96258270352,127.567498778469
이디야,전남,순천대대학본부점,"전라남도 순천시 중앙로 255 (석현동, 순천대학교) 대학본부2층(석현동, 순천대학교)",34.9667612819538,127.480923056778
컴포즈커피,전남,순천대점,"전라남도 순천시 중앙로 255 48동 천연물신약연구소 1층(석현동, 순천대학교)",34.9667612819538,127.480923056778
컴포즈커피,전남,순천용당점,전라남도 순천시 용당삼산로 11 순천에스병원 102호,34.9728684093759,127.489846235496
던킨도너츠,전남,순천용당,전라남도 순천시 용당삼산로 11 (용당동) 1층,34.9728684093759,127.489846235496
컴포즈커피,전남,나주빛가람그린로점,전라남도 나주시 그린로 195 진흥빌딩 104호,35.0097239572515,126.787762016285
공차,전남,나주혁신점,"전라남도 나주시 그린로195 101호, 105호 일부",35.0097239572515,126.787762016285
디저트39,전남,나주 빛가람점,전라남도 나주시 배멧3길 5-4 (빛가람동),35.0188876529535,126.785712535593
할리스,전남,나주빛가람혁신도시점,전라남도 나주시 배멧3길 5-4 .,35.0188876529535,126.785712535593
투썸플레이스,전남,나주예가람타워점,전라남도 나주시 상야1길 7 (빛가람동) 1-2층,35.0226404638386,126.785873020836
빽다방,전남,나주혁신점,전라남도 나주시 상야1길 7,35.0226404638386,126.785873020836
공차,전남,나주빛가람점,"전라남도 나주시 상야1길 7, 1층 147호 (빛가람동, 예가람타워)",35.0226404638386,126.785873020836
빽다방,경남,사천카이점,경상남도 사천시 사남면 유천리108번지.삼정그린코아상가143동119호,35.0245896,128.1193239
메머드커피,경남,사천카이점,"경상남도 사천시 사남면 유처길 281, 상가동 1층 105호(사천흥한에르가아파트)",35.0245896,128.1193239
컴포즈커피,부산,다대포해수욕장점,"부산광역시 사하구 다대로 704 (다대동, 몰운대종합시장상가)",35.0487712466506,128.964621055572
하삼동커피,부산,부산다대포해수욕장역점,부산광역시 사하구 다대동 1548-37 105호 (몰운대종합시장상가),35.0487712466506,128.964621055572
컴포즈커피,부산,영도동삼점,부산광역시 영도구 와치로 252,35.0753495681978,129.069002708111
더벤티,부산,동삼점,"부산광역시 영도구 와치로 252 (동삼동, 선프라자)",35.0753495681978,129.069002708111
메가커피,부산,부산명지오션시티점,부산광역시 강서구 명지오션시티4로 73 (명지동),35.0825554451096,128.903948573337
하삼동커피,부산,명지오션점,부산광역시 강서구 명지오션시티4로 73 명지롯데프라자 1층 105호,35.0825554451096,128.903948573337
하삼동커피,경남,창원신항용원점,경상남도 창원시 진해구 신항4로 49 신항센텀빌딩 1층,35.0877167933068,128.817905963109
하삼동커피,경남,부산신호점,경상남도 창원시 진해구 신항4로 49 신항센텀빌딩 1층,35.0877167933068,128.817905963109
컴포즈커피,부산,녹산공단점,부산광역시 강서구 녹산산단335로 24-8 104호,35.0906958438217,128.854942556515
하삼동커피,부산,녹산중앙점,부산광역시 강서구 녹산산단335로 24-8 (송정동) 1층 118호 하삼동커피,35.0906958438217,128.854942556515
디저트39,부산,부산명지점,"부산광역시 강서구 명지국제8로10번길 38 (명지동) 1층 116,117호",35.0943776683714,128.903500417281
디저트39,부산,부산 국제신도시점,부산광역시 강서구 명지국제8로10번길 38 (명지동),35.0943776683714,128.903500417281
하삼동커피,부산,주식회사 하삼동 명지씨지브이직영점,"부산광역시 강서구 명지국제8로10번길 38 (명지동) 제1동 101호(명지동,플러스시네마)",35.0943776683714,128.903500417281
더벤티,부산,신평역점,부산광역시 사하구 하신중앙로 184 (신평동),35.0952561966152,128.962319754487
하삼동커피,부산,신평2동점,부산광역시 사하구 하신중앙로 184 108호,35.0952561966152,128.962319754487
공차,부산,롯데부산광복점,"부산광역시 중구 중앙대로 2, 지하1층(동광동1가, 롯데백화점광복점)",35.0979848964696,129.036632251021
공차,부산,롯데부산광복2호점,"부산광역시 중구 중앙대로 2, 4층",35.0979848964696,129.036632251021
폴바셋,부산,롯데백화점 광복점,부산광역시 중구 중앙대로 2 롯데백화점 광복점 B1,35.0979848964696,129.036632251021
빽다방,부산,부산명지국제타워점,부산광역시 강서구 명지국제8로 251,35.0983422332044,128.920478063773
컴포즈커피,부산,명지국제신도시점,부산광역시 강서구 명지국제8로 251 106호,35.0983422332044,128.920478063773
컴포즈커피,부산,사하점,부산광역시 사하구 낙동대로 280 302동 B213호,35.1001350992794,128.98425723893
