매장명,주소,전화번호,위도,경도
남양주2청사점,"경기도 남양주시 경춘로 490, 주건축물제1동 1층 1172호 (다산동,힐스테이트 지금 디포레)",031-558-3370,37.6100406969272,127.167362907457
파주운정산내점,경기도 파주시 청암로17번길 51,031-944-3383,37.7284115849885,126.735195447669
송도센트럴점,인천광역시 연수구 센트럴로 194,032-833-0033,37.3937862653635,126.641874180513
신세계대전점,"대전광역시 유성구 엑스포로 1,대전신세계 타트앤사이언스 지하 1층 A67호(도룡동)",번호없음,36.3751817693989,127.381765372066
익산미륵사지휴게소점,전라북도 익산시 여산면 호남고속도로 191 공차 익산미륵사지휴게소점,번호없음,36.047716062589,127.102809412973
하남미사학원가점,"경기도 하남시 미사강변대로 34번길 72, 골든프라자 105호",031-795-8850,37.5558032406433,127.187768423139
롯데부산광복2호점,"부산광역시 중구 중앙대로 2, 4층",번호없음,35.0979848964696,129.036632251021
잠실월드몰점,서울 송파구 올림픽로 300 지하1층,번호없음,37.5137129859207,127.104301829165
인천터미널점,"인천 미추홀구 연남로 35, 인천종합터미널 1층 대합실",032-426-3370,37.4425062298688,126.701518656221
트레이더스양산점,경상남도 양산시 평산로 16,번호없음,35.3822360798756,129.152744992682
함안휴게소부산방향점,"경상남도 함안군 군북면 현포로205(유현리993-6), 함안휴게소 부산방향 1층",055-582-2191,35.2934667541833,128.348064495941
서대문역점,"서울특별시 서대문구 통일로 139, 1층 102호(냉천동)",02-313-3796,37.5667760051892,126.965374009098
킨텍스점,경기도 고양시 일산서구 킨텍스로 217-60,031-995-8328,37.668933476214,126.745802827238
신대방삼거리점,"서울특별시 동작구 상도로 103, 1층(상도동)",02-3665-3995,37.5007046805293,126.931782120252
부산동래역점,"부산시 동래구 온천천로 165, 102동 1층 107호",번호없음,35.2049671082398,129.078985508071
덕유산휴게소 하남방향점,전북 무주군 안성면 공진리 471(통영대전고속도로),번호없음,35.8160357057106,127.646368337571
덕유산휴게소 통영방향점,전북 장수군 계북면 양악리 산4-7(통영대전고속도로),번호없음,35.8134629126018,127.643127873581
한국종합기술사옥점,"서울특별시 강동구 상일로6길 21, 한국종합기술사옥 1층(상일동)",번호없음,37.5497418999274,127.174355208901
천안신부점,충남 천안시 동남구 만남로 50 1층 103호,041-555-3234,36.8186771205502,127.157616646323
대치사거리점,서울시 강남구 대치동 961-1,번호없음,37.5031210885846,127.059373728185
압구정로데오점,"서울특별시 강남구 선릉로 153길 12, 103호",02-544-8850,37.5249617604329,127.038565318856
신논현점,서울시 강남구 강남대로 484 1층,02-544-7750,37.5056248652289,127.024373998758
평창자연휴게소인천방향점,강원 평창군 용평면 탑거리길 63 평창자연휴게소 인천방향,번호없음,37.6107858292566,128.463404625998
동두천지행역점,"경기도 동두천시 동두천로 119, 1층 108호 (지행동, 지행역프라자)",번호없음,37.8920674099318,127.054630551128
창원중동유니시티점,"경상남도 창원시 의창구 중동북로 23, 제이디윙스빌딩 1동 1층 108호 (중동)",번호없음,35.2581399667822,128.627158203479
함안휴게소 순천방향점,"경상남도 함안군 현포로205-1, 함안휴게소 순천방향 1층",053-719-2699,35.2934667541833,128.348064495941
화곡역점,서울특별시 강서구 화곡동 1066-10 105호,번호없음,37.5411474521686,126.83764744925
김포고촌점,"경기도 김포시 고촌읍 태리로 285, 109호",031-992-8000,37.5932156257793,126.763900138871
동작구청점,"서울특별시 동작구 장승배기로 70, 특별임대상가내 1층 5,6호",02-822-3370,37.5042374347633,126.940269700861
부산전포역점,"부산광역시 부산진구 전포대로200번길 13, 1층 (전포동)",번호없음,35.1546270038804,129.066380843455
송파방이점,서울특별시 송파구 오금로11길 6,02-420-3370,37.5142331890942,127.107952307168
숭실대점,동작구 사당로 12 1층,070-7525-5889,37.4952750566212,126.95565390864
성수점,"서울특별시 성동구 아차산로 132, 1층 102호(성수동 2가)",02-462-3371,37.5435689243108,127.058400857463
대전상대본점,"대전시 유성구 상대복용로29번길 9-5, 2층 201호(상대동)",042-710-6188,36.337670172066,127.332957775059
트레이더스구월점,"인천시 남동구 매소홀로 759, 트레이더스 구월점 1층",032-472-5864,37.4396232177682,126.707884341114
서울여대점,"서울특별시 노원구 화랑로 621, 학생누리관동 1층 101호 ( 공릉동, 서울여자대학교)",02-971-3370,37.6273815936787,127.091621159803
화양사거리점,"서울특별시 광진구 동일로 178, 1층 110호 ( 화양동, 광진캠퍼스시티)",02-469-0827,37.5478142685395,127.067810065046
완주삼봉지구점,전북특별자치도 완주군 삼례읍 삼봉3로 16,070-4006-0901,35.9208818038389,127.1219052736
신림점,"서울특별시 관악구 신림로 323, 1층 106호",-,37.4832285155747,126.929548484921
원그로브점,"서울특별시 강서구 공항대로 165, B동 1층 E120 (마곡동)",02-6953-5380,37.5608751008131,126.824695969186
신풍역점,서울 영등포구 신풍로 28,070-4006-0901,37.4998139228913,126.90960294998
롯데몰광명점,"경기 광명시 일직로 17, 롯데몰광명 3층 델리테라스",02-6226-2378,37.4243110028905,126.882779952497
단대오거리역점,"경기도 성남시 중원구 산성대로372번길 9, 1층(금광동,원광빌딩)",-,37.4451605417662,127.158109436178
고양원당점,경기 고양시 덕양구 호국로 826 1층,-,37.6589703838903,126.839251196358
예술의전당점,"서울시 서초구 남부순환로 2406, 예술의전당 비타민스테이션 1층(서초동)",02-581- 3346,37.4802401962069,127.014215239186
광주용봉지구점,"광주광역시 북구 용봉택지로 39, 103호(용봉동, G플레이스 용봉)",062-522-0922,35.1789241922183,126.890896630043
영산고속도로휴게소점,경남 창녕군 영산면 장척호수길 56-110,-,35.4286587768169,128.495680970332
경주월드점,"경상북도 경주시 보문로 544, B-111동 (천군동, 경주월드)",-,35.8361000891083,129.279149011801
송도오네스타점,"인천 연수구 송도국제대로 157, 지상1층 A-114호(송도동, 오네스타)",032-821-7779,37.3809410558608,126.656664161119
서충주기업신도시점,"충주시 중앙탑면 원앙9길 15, A-2동 118호",043-848-2326,37.0157412993212,127.825918770774
수원아주대점,경기도 수원시 팔달구 아주로41,031-211-8898,37.2785064452542,127.04352706338
롯데부산광복점,"부산광역시 중구 중앙대로 2, 지하1층(동광동1가, 롯데백화점광복점)",-,35.0979848964696,129.036632251021
부산교대정문점,"부산광역시 연제구 교대로8, 1층",-,35.1956043035801,129.079164219788
구의이스트폴점,"서울특별시 광진구 아차산로 420, 1층 판매시설 7호 (자양동, 롯데캐슬이스트폴)(자양동)",02-455-0143,37.5363594752912,127.088777809176
선릉중앙점,"서울특별시 강남구 선릉로86길 7, 삼정빌딩 1층",02-555-3011,37.5032959457801,127.05031261589
거제아주점,"경상남도 거제시 아주1로 38, 1층 (아주동)",-,34.8665544651562,128.688623157759
부산온천천점,부산광역시 연제구 세병로 84,-,35.1957563678299,129.082747391408
교대지파이브점,"서울특별시 서초구 서초중앙로24길 27, 104호 (서초동,G5센트럴프라자)",02-6677-0707,37.4954109950647,127.016402306519
마들역점,"서울특별시 노원구 동일로 1541, 1층 107호 ( 상계동 , 11단지 종합상가 )",070-4006-3823,37.6656742727167,127.05705028385
평택성모병원점,"경기도 평택시 평택로 284, 1층(세교동)",031-657-4951,37.0084078202862,127.074338432243
롯데동탄점,"경기 화성시 동탄역로 160, 롯데백화점 동탄점 B1",031-8036-3550,37.200666359626,127.098203113972
강동아이파크더리버점,"서울특별시 강동구 고덕비즈밸리로 51, 지1층 B108-2호(고덕동)",-,37.5666602103625,127.157332910007
목동행복한점,"서울특별시 양천구 목동동로 309, 1층(목동, 행복한 백화점(㈜중소기업유통센터)",-,37.5292109947037,126.875984665042
롯데시네마대전센트럴점,"대전광역시 서구 대덕대로 216, 6층",-,36.3519514997921,127.379506465353
거제수월점,"경남 거제시 제산로 2-2, 1층",055-950-3155,34.8911271891223,128.636236653037
대전한화생명볼파크점,"대전광역시 중구 대종로 373, 베이스볼드림파크1층 메인게이트옆호(부사동)",-,36.3173370007388,127.428013823451
광명역점,"경기도 광명시 신기로 7, 1층 104호(일직동, 골드스타빌딩)",02-897-5989,37.4206112291251,126.882491771593
두산연강빌딩점,"서울특별시 종로구 종로33길 15, 1층 일부호(연지동, 두산아트센터)",02-2088-2201,37.5718123278145,127.00100010537
트레이더스 마곡점,"서울특별시 강서구 공항대로 165, 지하2층 일부호(마곡동)",-,37.5608751008131,126.824695969186
