매장명,주소,위도,경도
부산국제물류산단점,부산 강서구 가락대로 699 (생곡동) 1층 일부호(생곡동),35.1370677220346,128.868588816693
다산현대캠퍼스몰점,경기 남양주시 다산순환로 20 (다산동) 다산현대프리미어캠퍼스 1층 제디씨01-020호,37.6125857877932,127.151716222848
서울 잠실르엘점,서울 송파구 올림픽로 329 (신천동) B1층 117,37.5161588169493,127.106659247528
거제장목마을점,경남 거제시 장목면 거제북로 1163-1 (장목리) 우측 하삼동커피,34.9872005881931,128.680813064329
양산서창점,"경남 양산시 서창서2길 2 (삼호동, 새마을금고) 1층 2-1호",35.4163539675977,129.172435661532
창녕대신새길점,경남 창녕군 남지읍 대신길 1 (남지리) 1층 하삼동커피,35.3886248289209,128.473353087096
인천영종운서역점,인천 중구 운서동 2803-1 메가스타 영종 2층 217호,37.4934353770054,126.49149218543
수원 경희대국제캠퍼스점,경기 수원시 영통구 영통동 1023-5 1층 101호,37.2483601682995,127.076742082513
창녕영산점,경남 창녕군 영산면 서리상촌길 321 (서리) 하삼동커피,35.456026357912,128.525968699967
김해대동산단점,경남 김해시 대동면 대동산단2로 106 (월촌리) 1층,35.2671910252799,128.995448169964
부산가내찬태광후지킨점,부산 강서구 화전산단3로 32 (화전동) 24동 1층,35.1080709478234,128.875814890578
울산대송점,울산 동구 학문로 87 (화정동) 1층,35.5037073005697,129.419581427486
울산선암대나리점,울산 남구 두왕로190번길 18-1 (선암동) 1층,35.5189222316827,129.313411617841
시흥은계호수공원점,"경기 시흥시 은계중앙로 250 (은행동, 은계호수타운2) 은계호수타운2 116, 117호",37.446185845659,126.803968654338
울산태화국가정원,울산 중구 태화강국가정원길 55 (태화동) 1층 하삼동커피,35.5536616841263,129.281881186663
부산기장월전점,"부산 기장군 기장읍 죽성로 378 (죽성리, 월전슈퍼) 1층 하삼동커피",35.238578946431,129.243050372071
통영중앙시장점,경남 통영시 통영해안로 341 (중앙동) 1층 하삼동커피,34.8449481947636,128.424804363551
인천청라국제도시점,"인천 서구 미래로 11 (청라동, 청라썬앤빌 에코스타) 청라썬앤빌에코스타 상가 104호",37.551682647848,126.618348550547
김해가동마을점,경남 김해시 한림면 한림로816번길 66 (가동리) 2동 1층,35.3353783695421,128.762771248045
포항세명기독병원점,경북 포항시 남구 포스코대로353번길 7 (대도동) 제1동 1층,36.0178904971546,129.362500587799
부산해운대마린시티점,"부산 해운대구 마린시티3로 23 (우동, 벽산이오렌지프라자) 1층 135호",35.1566471472902,129.146930632686
울산성안청구점,울산 중구 함월22길 6 (성안동) 101호 하삼동커피,35.5785061284111,129.318069916069
서울 서대문역점,서울 서대문구 충정로2가 78 중앙요양병원 1층,37.5652024417661,126.965463024173
부산강서대저점,부산 강서구 대저로 57 (대저1동) B동 1층(대저1동),35.2152826880812,128.958863541201
안산부곡종합시장점,경기 안산시 상록구 부곡동 685-10 프라움포레 A동 101호,37.3263130464487,126.859309743513
일산후곡학원가점,"경기 고양시 일산서구 일산로 547 (일산동, 일신1조합상가) 1층 101호",37.67767152858,126.767101305363
안성공도점,경기 안성시 공도읍 공도4로 11 (만정리) 101호,37.0011706529321,127.171676675783
양산물금동일점,"경남 양산시 물금읍 가촌서로 93 (가촌리, 양산 물금 동일스위트) 302동 104호",35.3230373652587,128.992287131168
울산하늘채라크뷰점,울산 남구 산업로355번길 45 (선암동) 1층 하삼동커피,35.5173982795017,129.336032839705
대전관저마치광장점,대전 서구 관저중로64번길 63 (관저동) 블루상가 103호,36.2980677320671,127.33826578694
대구팔거역점,대구 북구 팔거천동로 206 (동천동) 102호,35.9424205274595,128.558411947033
영덕터미널점,경북 영덕군 영덕읍 군청길 61 (덕곡리) 102호,36.414131825573,129.372515320168
울산북구대동점,울산 북구 천곡길 161 (천곡동) 107동 1층 107호,35.6386703005982,129.327902276418
창녕인교점,경남 창녕군 부곡면 온천로 1181 (수다리) 1층,35.4263209413786,128.64906908084
부산명지에코델타푸르지오린점,"부산 강서구 에코델타3로 43 (강동동, 에코델타시티 푸르지오 린) 근린생활시설 2-1동 101호",35.1428719245537,128.920043691156
창원대상힐스테이트점,경남 창원시 성산구 대상중앙로 10 (중앙동) 128동 107호,35.2237432287452,128.67107753092
화성수원대점,경기 화성시 봉담읍 와우로 112 (와우리) 하삼동커피 수원대점,37.2141541220793,126.978099831143
서울방배르엘점,서울 서초구 방배중앙로 8 (방배동) 하삼동커피 방배르엘점,37.4809615776779,126.993284859585
창원북면신촌점,경남 창원시 의창구 북면 신촌리 995-1 1층 하삼동커피,35.3454204772721,128.605446964139
인천계양병방점,"인천 계양구 계양산로215번길 14 (병방동) 1층, 2층",37.5485050666661,126.740857954632
울산서사시티프라디움점,"울산 울주군 범서읍 다운서사로 240 (서사리, 서사시티프라디움) 103호 하삼동커피",35.5938806430492,129.276918639
부산대학교북문점,부산 금정구 장전동 40 자유관 기숙사 1층 하삼동커피,35.2334617491952,129.080380563927
화성비봉상업지구점,경기 화성시 비봉면 간곡2길 8 (삼화리) 1동 108호,37.2479576773982,126.871905580161
시흥갯골생태공원점,경기 시흥시 섬말길 94 (장곡동) 시흥갯골생태공원 내 4동 1층 일부호,37.3914742775993,126.783952982442
충남아산신창점,충남 아산시 신창면 남성길 152-12 (남성리) 1층 102호,36.7908352440482,126.956416508511
충북서충주푸르지오점,충북 충주시 주덕읍 화개3길 46 (화곡리) 105호,37.0086126660638,127.816809470873
충북우석대진천캠퍼스점,"충북 진천군 진천읍 대학로 66 (교성리, 우석대학교 진천캠퍼스) 미래센터동 지하1층",36.8452703460677,127.436922366221
서울아차산역점,"서울 광진구 천호대로 671 (구의동, 파크타운) 1층 106호",37.5513392358641,127.090532462896
