매장명,주소,위도,경도
(하)군산휴게소점,전북특별자치도 군산시 성산면 서해안고속도로 141 군산휴게소 하행 1F HOLLYS,35.9802384802234,126.829931443409
(하)금왕휴게소점,충청북도 음성군 금왕읍 평택제천고속도로 70 .,36.968980701494,127.590712287356
(상)금왕휴게소점,충청북도 음성군 금왕읍 평택제천고속도로 69 .,36.9705174475064,127.589577244807
진해경화점,경상남도 창원시 진해구 조천북로 76 (경화동) 1층,35.160346696035,128.680862603975
금강휴게소점,충청북도 옥천군 동이면 금강로 596 1층,36.2794502792592,127.673725362476
인천항국제여객터미널점,인천광역시 연수구 국제항만대로326번길 57 (인천항국제여객터미널 204호) /송도동 300-3,37.4240553040767,126.605574220007
인천공항T1 4F점,"인천광역시 중구 공항로 272 (운서동, 인천공항) T1 4F",37.458350712273,126.427699293474
경희대푸른솔문화관점,서울특별시 동대문구 경희대로 26 경희대학교 푸른솔문화관 1층,37.5939491407769,127.054890960564
경희대간호이과대점,서울 동대문구 경희대로 26 경희대학교 간호이과대 지하2층,37.5939491407769,127.054890960564
속리산휴게소점,충청북도 보은군 마로면 적암길 56-18 /적암리 181-3,36.4477116230233,127.869016872118
평택이충DT점,경기도 평택시 추담로 30 (이충동 59) .,37.0555035293451,127.074191873909
역삼역점,"서울특별시 강남구 논현로 503 (역삼동, 송촌빌딩) 제1층 1호 .",37.5012739795743,127.036366846779
충무로역점,"서울특별시 중구 퇴계로36길 2 (필동2가, 동국대학교충무로영상센터) .",37.5606439510409,126.993567232255
평택지산점,"경기도 평택시 지산로 10, 가이아프레지던스 1층  지산동 808-4, 101,102호",37.0788355571979,127.055897515272
FKI타워2호점,"서울특별시 영등포구 여의대로 24 (여의도동, 에프케이아이타워) 1층",37.5221803249647,126.919916550827
인천공항T1탑승동점,인천광역시 중구 공항로 272 (인천공항) 탑승동 A/S 3층,37.458350712273,126.427699293474
부산명지강변DT점,부산광역시 강서구 르노삼성대로 586 (명지동) 1-3층,35.0997473997286,128.928269583383
전북대의과대점,"전북특별자치도 전주시 덕진구 건지로 20 (금암동, 전북대학교병원) 의학계학생회관1층",35.8479659003147,127.141059767822
(하)내린천휴게소점,"강원도 인제군 상남면 서울양양고속도로 117 양양방향 내린천휴게소, 1층",37.9175359926716,128.288289857084
