매장명,주소,전화번호,위도,경도
강남구청역점,"서울특별시 강남구 학동로 342, 1층 106호(논현동 , 에스케이허브블루)",02-515-0656,37.5167560126387,127.040841265738
강남구청점,"서울 강남구 학동로68길 7 (삼성동, 삼성동힐스테이트), 상가동 지상 1층 102호",02-512-0656,37.5176166251155,127.046743685239
강남보건소점,"서울 강남구 선릉로 660 (삼성동, 브라운스톤 레전드)",02-514-1218,37.5155511161052,127.042332457469
선릉역점,"서울 강남구 선릉로93길 26 (역삼동, 우리빌딩)",02-566-6552,37.5048317668179,127.046432160962
가로수길점,서울 강남구 가로수길 19 (신사동),02-540-1041,37.5191885880699,127.02299870277
강남CGV점,서울특별시 강남구 강남대로 438 스타플렉스,02-555-0656,37.5016428104731,127.026336096148
강남로데오점,"서울특별시 강남구 강남대로78길 12 , (역삼동, 예미프레스티지)",02-557-1341,37.4948475341971,127.030367339339
강남면허시험장점,"서울 강남구 테헤란로114길 16 (대치동, 동남빌딩)",02-552-5679,37.50857753579,127.06654795913
강남못골도서관점,"서울 강남구 자곡로 114 (자곡동, 서강플라자)",02-445-1007,37.472056996722,127.096024011591
강남세곡점,"서울특별시 강남구 헌릉로569길 13, 지상1층 110호(세곡동 , 라온프라이빗시티)",02-2226-1116,37.4668160016853,127.100039368895
강남역삼점,"서울 강남구 역삼로 156 (역삼동, 태광빌딩)",02-566-1003,37.4947636235131,127.036217927404
강남역신분당선점,"서울 강남구 강남대로 지하 396 (역삼동, 강남역)",02-6952-4888,37.4981646510326,127.028307900881
강남역점,"서울특별시 강남구 테헤란로 101 , (역삼동, 이즈타워)지하상가 E-35",02-567-5424,37.4986232309429,127.028065727387
강남자곡점,"서울 강남구 자곡로 202 (자곡동, 강남힐스테이트에코), 지상1층 101호",02-3411-1003,37.4747691320118,127.105019940623
강남포이점,"서울특별시 강남구 개포로 221, 1층(개포동)",02-572-0777,37.4789198822892,127.047105097994
강남해링턴타워점,서울 강남구 강남대로84길 15 (역삼동),02-6953-0657,37.4970034183304,127.02983569457
개포동역점,"서울특별시 강남구 개포로82길 13-9 , 101~102호 (개포동 , 세종빌딩)",02-2226-0085,37.4886594787069,127.067752825553
개포아이파크점,"서울 강남구 선릉로 28 (개포동, 일영빌딩)",02-494-1001,37.4823218659331,127.061341407851
국악고점,서울 강남구 논현로12길 33 (개포동),02-572-5559,37.4757120078088,127.050193840604
논현가구거리점,서울 강남구 학동로4길 8 (논현동),02-540-5677,37.5109176662295,127.0228813621
논현개나리점,서울 강남구 학동로20길 16 (논현동),02-6952-9476,37.5121260127092,127.028249040707
논현동현점,서울 강남구 도산대로50길 8 (논현동),02-540-0627,37.5218435196536,127.037322872282
논현아크로힐스점,"서울특별시 강남구 언주로 604, 지하1층 109호(논현동 , ACROHILLS논현)",02-545-0656,37.5095303215604,127.038421201117
논현힐탑점,서울 강남구 논현로 639 (논현동),02-6958-7656,37.5105705406578,127.032046539306
대치사거리점,"서울특별시 강남구 삼성로 349, 우진빌딩 지상1층(대치동)",02-555-8677,37.5026839034347,127.058505388195
대치역점,"서울특별시 강남구 삼성로 155 , 116호(대치동 , 대치퍼스트빌딩)",070-8282-6769,37.4938813994708,127.062951852624
대치은마점,서울 강남구 도곡로 510 (대치동),02-6941-0655,37.4990204274664,127.062182304456
대치중앙점,"서울 강남구 역삼로 416 (대치동, 태양빌딩), 지상1층",02-556-0656,37.500963594534,127.052605894724
대치포스코점,"서울 강남구 테헤란로78길 16 (대치동, 노벨과개미)",02-552-5551,37.5050615609923,127.05533837197
대치하이스턴점,"서울 강남구 도곡로93길 12 (대치동, 래미안 대치 하이스턴)",070-7776-3929,37.5015123626981,127.065474666225
대치학원가점,"서울특별시 강남구 도곡로77길 6 , 102호(대치동)",02-6747-7070,37.4987709871278,127.058743212182
디에이치자이개포점,"서울특별시 강남구 영동대로 22, 830동 지하1층 S5B1-0510호(일원동 , 디에이치자이개포)",02-451-1777,37.4910941147932,127.074163955752
래미안대치팰리스점,"서울 강남구 남부순환로 2917 (대치동, 청실종합상가)",02-555-2184,37.4931666957307,127.059164905458
매봉역점,서울 강남구 남부순환로378길 12 (도곡동),02-578-3768,37.485422501853,127.045860235286
백암아트홀점,"서울 강남구 테헤란로113길 7 (삼성동, 백암아트센터)",02-565-9704,37.5106711243034,127.065879214112
봉은사역점,서울 강남구 봉은사로 541 (삼성동),02-6953-7656,37.5143456496078,127.059144067617
삼성리저브점,"서울 강남구 삼성로 517 (삼성동, 채널리저브)",02-6953-7249,37.5079854660981,127.055223583203
삼성중앙역점,"서울특별시 강남구 봉은사로 478, 1층 102호(삼성동)",02-566-1070,37.5126363099479,127.052772890864
삼성중앙점,"서울 강남구 영동대로85길 28 (대치동, 성원타워Ⅰ), 지상1층",02-555-5869,37.5068583110751,127.061250301689
서울논현초점,서울 강남구 학동로6길 50 (논현동),02-6949-1656,37.509231699695,127.026371335948
서울신구초점,서울 강남구 압구정로14길 6 (신사동),02-515-1602,37.523858489259,127.022980226111
서울언주초교점,서울 강남구 남부순환로363길 12-29 (도곡동),070-4027-0971,37.4864629686999,127.038598662438
선릉대우아이빌점,"서울 강남구 삼성로85길 42 (대치동, 대치동대우아이빌멤버스)",02-552-5557,37.5045490585229,127.053801125765
선릉샹제리제점,"서울 강남구 테헤란로 406 (대치동, 샹제리제센터)",02-501-4580,37.5043809944112,127.049963989803
선릉세웅타워점,"서울 강남구 선릉로94길 12 (삼성동, 세웅타워)",02-566-5513,37.5058068260964,127.049557899004
선릉점,"서울특별시 강남구 선릉로86길 16 , 1층 (대치동)",02-556-1341,37.5032622144877,127.051021356675
선릉한신인터밸리점,"서울 강남구 테헤란로 322 (역삼동, 한신인터밸리24)",02-2183-0909,37.5032355765545,127.046582379785
선릉현대타워점,"서울 강남구 테헤란로 423 (삼성동, 현대타워)",02-6954-0650,37.5062216594214,127.053059944282
선정릉역점,서울 강남구 봉은사로48길 37 (역삼동),02-6949-0654,37.5075778749171,127.042538435667
수서역점,"서울 강남구 광평로 280 (수서동, 로즈데일오피스텔)",02-451-1215,37.4873191631489,127.103108072457
수서중앙점,"서울 강남구 광평로51길 8 (수서동, 로얄프라자)",02-451-0214,37.4883751535989,127.102475755025
신논현역점,"서울 강남구 강남대로 480 (논현동), 지상1층",02-518-0656,37.5052902844477,127.024555185432
신사강남시장점,"서울 강남구 압구정로2길 46 (신사동, ---------)",02-512-9290,37.5187672551656,127.020691646267
신사동고개점,"서울 강남구 도산대로 158 (논현동, 세양 APEX TOWER)",02-511-6358,37.5184655294401,127.026053105285
신사사거리점,"서울 강남구 강남대로 594 (논현동, 대림빌딩)",070-4010-4352,37.5147931715982,127.020329608826
압구정동양빌딩점,"서울 강남구 논현로 824 (신사동, 동양빌딩)",02-2135-2211,37.5219903085592,127.028542466859
압구정로데오역점,서울 강남구 압구정로 338 (신사동),02-516-5112,37.5279245130015,127.038877956425
압구정역점,"서울특별시 강남구 압구정로28길 25 , 1층 2호 (신사동 , 동심빌딩)",02-511-1533,37.5248243999828,127.027837746706
압구정카페골목점,"서울 강남구 선릉로 815 (신사동, 신한양빌딩)",02-540-4446,37.5248658226122,127.03932763326
압구정현대점,"서울 강남구 압구정로 214 (신사동, 현대종합상가빌딩)",02-513-1000,37.5279935871042,127.030734534472
양재역점,"서울 강남구 남부순환로 2615 (도곡동, 극동스타클래스)",02-571-5558,37.4851852937745,127.035883711966
언주KTS빌딩점,"서울 강남구 봉은사로 215 (논현동, KTS빌딩)",070-4155-7249,37.5080879867462,127.035564754127
언주역점,서울 강남구 논현로 561 (역삼동),02-508-0656,37.5061371187148,127.034077257047
