지역,매장명,주소,전화번호,위도,경도
제주도,제주애월구엄포구점(미니버전),"제주특별자치도 제주시 애월읍 구엄리 606 , 1층 빽다방",070-4300-0443,33.4841107382281,126.377485994239
경기도,오산공군기지점,경기 평택시 신장동 229-17 2층,031-669-1515,37.0825292491684,127.04597641046
경기도,광명초교점,경기도 광명시 광명로928번길 16,02-6958-7991,37.4810933631247,126.857145842792
전라북도,완주혁신점,"전북특별자치도 완주군 이서면 기지로 47, 103호",063-904-3330,35.838708443719,127.057338083519
서울특별시,자양역점,"서울 광진구 뚝섬로34길 67 (자양동, 광진트라팰리스) 1층",02-6954-0059,37.5316853724558,127.068291454652
서울특별시,종로꽃시장점,서울 종로구 종로 255 (종로5가) 1층,070-4333-1040,37.5713016685509,127.006139257991
전라남도,목포활어회플라자점,"전남 목포시 고하대로 641-21 (산정동, 목포 활어회 플라자) 판매동 138호",061-274-2233,34.8068418898414,126.365858615656
충청남도,공주동학사점,충청남도 공주시 반포면 동학사1로 272,070-8838-0464,36.358712272596,127.238076832103
부산광역시,부산일광신도시점,부산광역시 기장군 일광읍 해빛6로 43-25,051-723-0714,35.2653175822866,129.225580346536
경기도,부천소사본점,"경기 부천시 소사구 소사본동 82-4, 1층",070-4820-2589,37.4788108205024,126.795317321254
대구광역시,빽다방 빵연구소 대구서재점,"대구 달성군 다사읍 서재리 781 1층,2층",053-587-1608,35.8728530334415,128.489653361859
서울특별시,길음뉴타운점,"서울 성북구 길음로 33 (길음동, 길음뉴타운) 길음뉴타운제비동 제지하2층 9호",미등록,37.6050832927232,127.022078590713
강원도,원주무극부대점,강원특별자치도 원주시 가현동 5 (군부대內),미등록,37.3899726130553,127.944079168525
충청북도,청주복대대농점,충청북도 청주시 흥덕구 대농로 68(복대동),043-234-5509,36.6415194726754,127.429717367893
서울특별시,청계산입구역점,"서울시 서초구 청계산로 217, 1층",미등록,37.4463234319275,127.057319631369
경기도,안산원곡군자점,"경기 안산시 단원구 화랑로 32 (원곡동, 군자상사) 1층",070-4060-0701,37.3315714430481,126.795958928259
충청남도,천안두정대우점,충남 천안시 서북구 두정로 244,041-565-7338,36.8331040396485,127.144122810502
전라북도,김제신풍점,전북특별자치도 김제시 금성로 96 (신풍동),063-545-8259,35.7992044631023,126.900725523615
전라북도,전주아중견훤로점,전주시 덕진구 견훤로 233 (인후동1가) 1층,063-247-2050,35.8323805925748,127.158049317283
부산광역시,부산자갈치시장점,"부산 중구 자갈치로 33 (남포동6가, 신천지) 1층",미등록,35.0970547948845,129.02783968921
인천광역시,인천가좌가림고점,"인천 서구 원적로 63, 111호",0507-1346-3702,37.4927873268975,126.679969379804
경기도,용인고림내안애점,"경기 용인시 처인구 경안천로 120, 1층",031-336-1854,37.2425269745234,127.215346249946
경기도,안양비산래미안점,"경기 안양시 동안구 관악대로 133, 1층",031-442-1343,37.3994131683173,126.938662986594
경기도,구리인창삼거리점,경기 구리시 동구릉로53번길 4 (인창동) 1층,031-566-2645,37.6053803794935,127.133623329717
경상북도,영천망정점,경상북도 영천시 창신1길 42,054-333-8566,35.9908304314973,128.955106556463
대구광역시,대구동촌역점,대구 동구 동촌로16길 16 (검사동) 1층,053-982-1124,35.8869399235616,128.65101121691
서울특별시,염창역달빛거리점,서울특별시 양천구 공항대로 618,02-2646-1163,37.5466554172496,126.873507894537
강원도,속초터미널점,"강원도 속초시 조양동 1419-5, 1층",070-5100-5180,38.1903816715897,128.598036503402
충청남도,천안용곡세광점,충청남도 천안시 동남구 풍세로 769-28,041-577-0410,36.7797034124992,127.138721867446
전라북도,완주삼례터미널점,"전북 완주군 삼례읍 동학로 28, 1층 빽다방",063-291-8119,35.9101412875401,127.074972078593
전라북도,전북순창점,전북특별자치도 순창군 순창읍 순창로 225,063-653-6003,35.3750807142656,127.142921052743
강원도,인제원통점,"강원도 인제군 북면 원통리 656-41, 1층",미등록,38.1236178171761,128.204759867532
인천광역시,인천국세청점,인천광역시 남동구 남동대로765번길 25,070-7802-2085,37.4506117724733,126.706103334468
대전광역시,대전목양마을점,대전광역시 중구 목동 88-6,042-252-8204,36.3360938501347,127.406717618163
서울특별시,이수역13번출구점,"서울 동작구 사당동 132-10, 1층",070-4060-0042,37.4876505433487,126.981275668238
인천광역시,인천계양위너스카이점,인천 계양구 효성동 325-2 D동 107호,070-5055-5054,37.5260450331818,126.707069268268
서울특별시,신논현역점,서울 서초구 반포동 738-47,070-5057-3910,37.5051567030878,127.023025725583
대구광역시,대구시지점,대구광역시 수성구 달구벌대로 3205 (신매동),053-794-2223,35.8404869063649,128.707456743259
