매점명,지역,주소,위도,경도
울산삼산점,울산,"울산광역시 남구 돋질로 302번길 39, 2, 3층",35.5423375878612,129.337479757859
한강여의도4호점,서울,서울시 영등포구 여의서로 62 2층,37.5318646872063,126.923225204553
한강여의도3호점,서울,서울시 영등포구 한강남자전거길 1451 2층,37.5308485071395,126.927745696174
대전선화점,대전,대전광역시 중구 대종로 593,36.3347508220829,127.417873700972
대구반월당점,대구,대구시 중구 달구벌대로 2082 1층(반월당역 반도유보라),35.8654429734947,128.591435300706
마린시티아뜰리에점,부산,"부산광역시 해운대구 마린시티1로 147, 우신골든스위트 1층",35.1564876769625,129.147492958525
여주휴게소(강릉방향),경기도,경기도 여주시 가남읍 여주남로 722 여주휴게소 강릉방향,37.2377222002659,127.568314638079
김제휴게소(새만금방향),전라북도,전라북도 김제시 흥사동 하정로 93 김제휴게소(새만금방향),35.8421000102522,126.903232118903
화순전남대학교병원점,전라남도,전라남도 화순군 화순읍 서양로 322 화순전남대학교병원 1층,35.0611167605244,127.00321365079
인천공항T2 A/S점,인천,인천시 중구 제2터미널대로 446 인천공항 제2여객터미널 3층 면세구역,37.4692488244219,126.43320918812
선릉역점,서울,서울시 강남구 테헤란로 332,37.503774633134,127.048192060882
동해천곡점,강원도,강원특별자치도 동해시 한섬로 112 (천곡동),37.5210659343936,129.116036250119
대구화원DI점,대구,대구광역시 달성군 화원읍 비슬로508길 8,35.8012541862773,128.494917680273
별내휴게소,경기,경기도 남양주시 별내면 광전리 산 112-1 별내 휴게소,37.6827577336442,127.128933958795
의정부휴게소,경기,경기도 의정부시 산곡동 304-2 의정부 휴게소,37.7325141847734,127.11509889411
군산은파호수공원DI점,전라북도,전라북도 군산시 은파순환길 78,35.9512125464796,126.692580943536
김제휴게소(전주방향),전라북도,전라북도 김제시 백산면 하정2길 126 김제휴게소 전주방향,35.8393769515637,126.897577302982
목포센텀스퀘어점,전라남도,전라남도 목포시 통일대로 66,34.799658017214,126.431683451858
세종소담점,세종시특별자치시,세종특별자치시 소담로 87,36.4854870164495,127.301920790761
첨단시리단길점,광주,광주광역시 광산구 쌍암동 694-60,35.2144017170644,126.84907399217
울산중구무궁화점,울산,"울산광역시 중구 번영로 534, 1-2층",35.5667656819033,129.341006142578
남양주사릉역DI점,경기,"경기 남양주시 진건읍 진건우회로 75, 1,2층",37.6511985168187,127.179551966335
대구구병원점,대구,대구광역시 달서구 달구벌대로 1596,35.8513018227186,128.541407715958
대구대표도서관점,대구,"대구광역시 남구 중앙대로22길 26, 1층",35.8424501637786,128.591869694299
길동역점,서울,"서울 강동구 양재대로 1463, 1층",37.5365804216026,127.139245055939
서울시의회별관점,서울,서울시 중구 덕수궁길 15 서울시청 서소문별관 1층,37.5645541852439,126.975613605737
전주한옥마을점,전라북도,전라북도 전주시 어진길 58,35.8175277973581,127.15143424673
을지대병원점,경기,경기도 의정부시 동일로 712 복합동 지하1층,37.7518290378344,127.050695679688
가평역점,경기,경기도 가평군 가평읍 문화로 13-33,37.8137589016134,127.51203257386
대구칠곡3지구점,대구,대구광역시 북구 동천로 128-17,35.9428413459855,128.562647087901
남원교룡공원DI점,전라북도,"전라북도 남원시 산성순환길 713, 주1동(산곡동)",35.4279839046318,127.363882577238
성남물빛정원점,경기,경기도 성남시 분당구 탄천상로 102,37.3404859973314,127.112756992574
센트로인천공항 랜드마크점,인천,인천시 중구 제2터미널대로 446 인천공항 제2여객터미널 3층,37.4692488244219,126.43320918812
대전갤러리아점,대전,대전광역시 서구 대덕대로 217번길 32,36.3529752193664,127.377262901828
안성휴게소(서울방향),경기,경기도 안성시 원곡면 경부고속도로 372,37.0767728142858,127.132497850726
음성휴게소(하남),충청북도,충청북도 음성군 삼성면 중부고속도로 52,37.0235811658804,127.484045361491
서울역사박물관점,서울,서울시 종로구 새문안로 55,37.5704968494713,126.97107522045
홍성의료원점,충청남도,"충청남도 홍성군 홍성읍 조양로 224 1동, 1층",36.5984650226578,126.673918882516
신천강변DI점,대구,대구광역시 북구 신암로 51,35.8771170913119,128.606468775627
오산휴게소(동탄방향),경기도,경기도 오산시 수도권제2순환도로 14,,
경주양남점,경상북도,경상북도 경주시 양남면 양남로 146,35.6659953051283,129.454454491864
고성공룡나라휴게소(대전),경상남도,경상남도 고성군 대가면 신전리 67,35.0571179330036,128.251282388746
고성공룡나라휴게소(통영),경상남도,경상남도 고성군 대가면 송계리 447,35.0518973439364,128.262959902437
치악휴게소(부산방향),강원도,강원도 원주시 신림면 치악로 416,37.2536358076336,128.048658735614
양주옥정로데오점,경기도,"경기도 양주시 옥정동로7다길 12-13, 폴리타워 2층 211호",37.8193003243592,127.093383516935
진해연세에스병원점,경상남도,"경상남도 창원시 진해구 동진로 11번길 7 , 1층",35.1549793594574,128.697707883921
센트로율동공원점,경기도,경기도 성남시 분당구 율동 443번지(율동공원),37.3754682399887,127.150245033458
잠실삼전점,서울,"서울특별시 송파구 백제고분로21길 27, 102호",37.5062552813693,127.090774310886
서산휴게소(서울방향),충청남도,충남 서산시 해미면 서해안고속도로 242,36.7343412458935,126.566241624135
울산삼산무궁화점,울산,울산광역시 남구 정동로 106,35.5432168557224,129.344618304459
피어서면점,부산,"부산광역시 부산진구 중앙대로 664, 상가동 101호",35.1519822072885,129.0595970727
가천대학교 가천관점,경기도,"경기도 성남시 수정구 성남대로 1342, 가천관 지하1층",37.4512348695085,127.12939432624
덕평휴게소(강릉방향),경기도,경기 이천시 마장면 덕이로 154번길 287-76,37.2413744206469,127.393784579939
덕평휴게소(인천방향),경기도,경기 이천시 마장면 덕이로 154번길 287-76,37.2413744206469,127.393784579939
칠서휴게소(양평)점,경상남도,경남 함안군 칠서면 계룡로 122-1 칠서휴게소 양평방향,35.3723047972219,128.496775334101
인천공항T1 A/S점,인천,인천 중구 운서동 공항로 271 인천공항 제1여객터미널 면세구역 동편,37.4476109663729,126.452346738588
센트로대전DT점,대전,대전광역시 유성구 도안동로 488,36.3476741291554,127.348389135797
전남장흥점,전라남도,"전라남도 장흥군 장흥읍 동교1길 3-1, 2,3층",34.6776214690428,126.908775152658
부산장안사DI점,부산,부산광역시 기장군 장안읍 장안로 344,35.3695225997686,129.246705050237
과천지식정보타운점,경기도,"경기도 과천시 과천대로7길 46, 107호, 108호",37.4151870059678,126.977308988364
하남스카이폴리스점,경기도,"경기도 하남시 미사강변한강로 135, 1층 나 165호",37.57657762204,127.19204652447
장유여객터미널점,경상남도,"경상남도 김해시 무계로 56, 메가시티몰 1층",35.2004380504343,128.819363680255
전북도청점,전라북도,전라북도 전주시 완산구 효자로 167 1층,35.819438875082,127.103759165224
동의의료원점,부산,부산시 부산진구 양정로62 동의의료원 1층,35.1699490043336,129.075920754671
낙산해변점,강원도,강원도 양양군 강현면 일출로 31-10,38.1172236943774,128.632055921378
김해공항국내선점,부산,"부산광역시 강서구 공항진입로 108  (대저2동, 김해국제공항 국내선 1층)",35.173068,128.9478529
남양주진접DI점,경기도,경기도 남양주시 해밀예당3로 154,37.7227012660191,127.193941048611
제주도남점,제주도,제주도 제주시 도남로 7길 49,33.4958789960091,126.527324578317
평택호휴게소점,경기도,경기도 평택시 현덕면 권관리 산93,36.9228300976508,126.917072041341
