매점명,주소,위도,경도
신세계백화점 의정부점,경기도 의정부시 평화로 525 신세계백화점 3층,37.7379562781405,127.0458721684
롯데백화점 노원점,서울시 노원구 동일로 1414 롯데백화점 노원점 B1,37.6552787315469,127.061391730931
현대아울렛 남양주점,경기도 남양주시 다산순환로50 현대아울렛 128호,37.616257926116,127.152429100255
현대백화점 미아점,동소문로 315 현대백화점 미아점 2층,37.608448037052,127.028778310047
롯데몰 은평점,서울 은평구 통일로 1050 롯데몰 은평점 1층,37.6375366740938,126.917900261732
청량리역점,서울특별시 동대문구 왕산로 214 청량리역3층,37.584197400389,127.05114503929
스타필드 고양 1호점,경기 고양시 덕양구 고양대로 1955스타필드 고양점 4층,37.6469771187284,126.89477806511
혜화역점,서울 종로구 동숭길 145,37.5831765507868,127.002279930165
광화문점(폴&밀도),서울시 종로구 종로 1길 50 더K트윈타워 1층,37.5747244659804,126.979022440109
종각역점,서울특별시 종로구 종로 47 SC제일은행본점 폴 바셋,37.5711250081852,126.982438945074
광화문 디타워점,서울 종로구 종로3길 17 D타워 1층,37.5709958592808,126.978914477333
을지로 파인에비뉴점,서울특별시 중구 을지로 100파인에비뉴 1층,37.5656490167105,126.988142568678
페럼타워점,서울시 중구 을지로 5길 19 페럼타워 1층,37.5669394038707,126.98414050544
광화문 흥국생명점,서울특별시 종로구 새문안로 68 신문로사옥1층 일,37.5696425113058,126.972139469043
코리아나호텔점,서울시 중구 세종대로 135 코리아나호텔 1층,37.5678135772855,126.976247211074
상일동점,서울시 강동구 상일로6길 21 `한국종합기술사옥 1층,37.5497418999274,127.174355208901
롯데백화점 본점,서울시 중구 남대문로 81 롯데백화점 본점 지하 1층,37.5647299033135,126.981730421825
서소문점,서울특별시 중구 서소문로 124 씨티스퀘어 1층,37.56310620292,126.975223589679
현대백화점 천호점,서울 강동구 천호대로 1005 현대백화점 천호점 지하1층,37.5389750482546,127.124440988259
한국경제신문사점,서울시 중구 청파로 463 한국경제신문사 1층,37.5598688323642,126.967109652664
연세암병원점,연세로 50-1 연세암병원 3층,37.563674036531,126.941917689273
MBC 몰 파크점,서울시 마포구 성암로 267MBC Mall Park 103호,37.5811234199086,126.890988995582
한남 커피스테이션 / 로스트웍스,서울 용산구 한남대로 48,37.5333467292793,127.008170967514
스타필드 하남 1호점,경기도 하남시 미사대로750 스타필드 하남 지하 1층,37.5454041231797,127.223940331575
스타필드 하남 2호점,경기도 하남시 미사대로750 스타필드 하남 3층,37.5454041231797,127.223940331575
압구정2호점,서울시 강남구 압구정로36길 8 1층,37.5279511760453,127.031320992326
AK플라자 홍대점,서울시 마포구 양화로 188 AK플라자 홍대점 1층,37.5577458058734,126.926498328277
현대모터스튜디오서울점,서울시 강남구 언주로 738 현대모터스튜디오 2층,37.5212763338659,127.034369094762
청담역점,서울시 강남구 삼성로 651 래미안라클래시 103호,37.5183513056476,127.050036535644
강남구청역점,서울시 강남구 청담동 41-2금하빌딩 1층,37.5178745126846,127.04137510689
롯데백화점 잠실점,서울시 송파구 올림픽로 240 롯데백화점 잠실점 신관 지하 1층,37.5113096112036,127.098141751177
코엑스몰점,서울 강남구 영동대로 513 코엑스몰 P104호,37.5118239121138,127.059159043842
투고 바 롯데월드 어드벤처점,"서울특별시 송파구 올림픽로 240, 롯데월드 어드벤처 내",37.5113096112036,127.098141751177
롯데월드 아이스링크점,서울 송파구 올림픽로 240 롯데월드 어드벤처동 지하3층 아이스가든,37.5113096112036,127.098141751177
교보문고 합정점,서울특별시 마포구 월드컵로 1길 14딜라이트 스퀘어 B2,37.5500497954747,126.912061257921
용산아이파크몰점,서울시 용산구 한강대로 23길 55 아이파크몰 6층,37.5297718014452,126.964741503485
파르나스몰점,서울 강남구 테헤란로 521 파르나스몰 지하 1층,37.5091916919873,127.06080691987
NC타워 삼성점,서울시 강남구 테헤란로 509 NC타워 1층,37.507782569744,127.058205463836
일산마두점,경기도 고양시 일산동구 중앙로 1205 차움라이프센터 1층 폴 바셋,37.654131720459,126.775737399414
선릉역 동훈타워점,테헤란로 317 동훈타워 1층,37.5039741806376,127.045763234822
뉴코아 강남점,서울 서초구 잠원로 51 뉴코아아울렛 2관 1층,37.5092394548535,127.007438594863
교보문고 강남점,서울시 서초구 서초동 1303-22교보타워 지하 2층,37.5037758841105,127.024070980788
GFC점,서울시 강남구 테헤란로 152 강남파이낸스센터 지하 1층,37.5000242405515,127.036508620542
파미에스테이션점,서울 서초구 사평대로 205 센트럴시티 파미에스테이션 FP102호,37.5044921229104,127.007845270854
롯데백화점 강남점,서울시 강남구 도곡로 401 롯데백화점 강남점 본관 1층,37.496979324799,127.053254695846
반포 쌍동빌딩점,서울특별시 서초구 고무래로 26 동관 1F 폴 바셋,37.5023470946819,127.011242817338
여의도 국회대로점,서울시 영등포구 국회대로68길 17 해운빌딩 1층,37.5287848903311,126.920109396536
대치역점,서울특별시 강남구 삼성로 155 대치퍼스트빌딩1층,37.4938813994708,127.062951852624
여의도 현대카드 CAFE,"서울시 영등포구 의사당대로 3, 현대캐피탈 빌딩 1관 1층",37.5291265518144,126.918138358824
여의도 IFC몰점,서울시 영등포구 여의도동 23 IFC몰 L2층,37.5249785804442,126.925298305571
증미역점(with 피자 일뽀르노),서울 강서구 양천로 570 1층,37.5566342630168,126.862027072667
여의도점,서울시 영등포구 여의대로 66 iM 증권빌딩 B동 1층,37.5245403141563,126.923718250438
강남삼성타운점,서울시 서초구 서초동 1327-1홍우제2빌딩 1층,37.4956303142862,127.027093111041
여의도 부국증권점,"국제금융로6길 17, 1층",37.521837473261,126.928149976268
강서 마곡DT점,"서울특별시 강서구 양천로 300, 1~2층(마곡동)",37.5706102186647,126.836730018048
강남역 삼성화재점,서울특별시 서초구 강남대로 355 1층,37.4943664214248,127.028829354357
수서역점,서울시 강남구 밤고개로 1길 10 수서 현대벤처빌B2  (지하철 기준 수서역 3번출구 내 현대벤처빌 초입에 위치),37.4880244867416,127.101844450006
강서 부민병원점,서울시 강서구 공항대로 389 부민병원1층,37.5568628399174,126.850904790759
교대역점,서울시 서초구 서초대로 287 석정빌딩 1층,37.4937567173307,127.01301688877
일원역점,서울특별시 강남구 일원로 115 1층,37.4840224010593,127.084459720088
롯데마트 서초점,서울특별시 서초구 서초동 1501-1 롯데마트 B1,37.4884513,127.0164398
롯데마트 양평점,서울시 영등포구 양평동3가 45 롯데마트 1층,37.526049651157,126.891646255753
스타필드시티 위례점,경기도 하남시 위례대로 200 4층 폴 바셋,37.4801356884837,127.148404124838
현대아울렛 김포점,경기도 김포시 고촌읍 아라육로 152번길 100 현대 프리미엄아울렛 김포점 101호,37.5972368549658,126.785233626536
영등포 타임스퀘어점,서울특별시 영등포구 영중로 15 타임스퀘어 2층 교보문고,37.5172332566615,126.903715993779
롯데백화점 김포공항점,서울시 강서구 하늘길 38 롯데백화점 김포공항점 GF층,37.5713695798026,126.802960133589
사당 파스텔시티점,서울시 서초구 방배천로 11 파스텔시티 1층,37.4777007617804,126.982236074572
