매장코드,매장명,주소,오픈날짜,위도,경도
1509,역삼아레나빌딩,서울특별시 강남구 역삼동 721-13 아레나빌딩,2019-06-13,37.50104644973,127.042641148883
1434,논현역사거리,서울특별시 강남구 논현동 142-2 정일빌딩,2018-11-23,37.5102479560852,127.022377161437
1595,신사역성일빌딩,서울특별시 강남구 논현동 18-4 성일빌딩,2019-12-19,37.5145410589102,127.020398086043
1527,국기원사거리,서울특별시 강남구 역삼동 648-22 동찬빌딩,2019-07-31,37.4996154072149,127.031675674624
1468,대치재경빌딩,서울특별시 강남구 대치동 599 대원빌딩,2019-02-14,37.4945251841943,127.062583860867
1640,봉은사역,서울특별시 강남구 삼성동 108-6 JBK TOWER 빌딩,2020-05-28,37.5151583706198,127.061754326885
1650,압구정윤성빌딩,서울특별시 강남구 신사동 592 윤성빌딩,2020-05-29,37.5228338188921,127.028577064787
1626,코엑스별마당,서울특별시 강남구 삼성동 159 코엑스,2020-04-16,37.5125211887102,127.058819250731
1438,삼성역섬유센터R,서울특별시 강남구 대치동 944-31 한국섬유산업연합회,2018-11-23,37.5074152615048,127.059766421967
1411,압구정R,서울특별시 강남구 신사동 621-1,2018-08-31,37.5274117130375,127.033094660626
1389,수서역R,서울특별시 강남구 수서동 715 수서빌딩,2018-06-27,37.4880040453925,127.102663964401
1404,양재강남빌딩R,서울특별시 강남구 도곡동 956 LG전자 강남R&D센터,2018-08-24,37.485331033076,127.036613971589
1355,선릉동신빌딩R,서울특별시 강남구 삼성동 141-28 동신빌딩,2018-03-30,37.5056224863764,127.048895022335
1348,봉은사로선정릉,서울특별시 강남구 삼성동 114-9 올림푸스타워,2018-03-06,37.5113326123349,127.048437271575
1255,강남오거리,"서울특별시 강남구 역삼동 813-17 1,2,3층",2017-08-18,37.5020952214486,127.026666599058
1211,스타필드코엑스몰R,서울특별시 강남구 삼성동 159 코엑스  A106호,2017-05-02,37.5125211887102,127.058819250731
1188,강남구청정문,서울특별시 강남구 청담동 44-12 대륭빌딩,2017-03-23,37.5185528997739,127.045011420672
1263,도곡공원,서울특별시 강남구 역삼동 788-10,2017-08-25,37.4931124038303,127.041267813816
1258,강남R,서울특별시 강남구 역삼동 825 미진프라자 1층 101호,2017-08-16,37.4978465164331,127.028637088301
1099,대치은마사거리,서울특별시 강남구 대치동 941-19 진흥빌딩,2016-08-12,37.4989051789315,127.058678857168
1154,청담영동대로,서울특별시 강남구 청담동 132-1 삼청빌딩,2016-12-23,37.5222144052161,127.056518242613
1084,압구정,서울특별시 강남구 신사동 609 이소니프라자,2016-06-23,37.526326136427,127.029543616511
1159,신사가로수,서울특별시 강남구 신사동 533-11,2016-12-27,37.5219156609709,127.022493315786
1146,청담스타R,서울특별시 강남구 청담동 89-4,2016-12-14,37.5252738573568,127.041774348273
1129,강남우성,서울특별시 강남구 역삼동 832-3 강남역 쉐르빌,2016-11-10,37.4929779309704,127.030420407994
991,학동사거리,서울특별시 강남구 논현2동 93-2번지,2015-09-11,37.522401937276,127.03796308963
1062,대치사거리,서울특별시 강남구 대치동 960-5 티아빌딩,2016-05-12,37.5033846976183,127.058884010648
1038,포스코사거리,서울특별시 강남구 삼성동 157-36 화진빌딩,2016-02-24,37.5083788108335,127.056250275856
914,을지병원사거리,서울특별시 강남구 논현동 59-8 구산빌딩,2015-04-22,37.5194107269823,127.028584582558
863,신사역,서울특별시 강남구 논현동 1-3 렉스타워,2014-12-11,37.5162586039313,127.020619465459
825,도곡역,서울특별시 강남구 대치동 651,2014-08-28,37.4922080930914,127.057381137664
815,서울세관사거리,서울특별시 강남구 논현동 238-5 한국건설기술인협회,2014-07-31,37.5151626175349,127.03574694194
734,청담사거리,서울특별시 강남구 청담동 6-5 리츠타워,2014-02-20,37.5237881794577,127.046857493413
687,한티역,서울특별시 강남구 대치동 1024 디마크빌딩 101호,2013-11-08,37.496688097745,127.055263776459
752,역삼초교사거리,서울특별시 강남구 역삼동 830-71,2014-03-26,37.4941456594862,127.033018121173
744,코엑스몰,서울특별시 강남구 삼성동 159 코엑스 O103호,2014-03-01,37.5125211887102,127.058819250731
672,가로수길,서울특별시 강남구 신사동 529-10 1~2층,2013-10-04,37.5232037161365,127.021626149662
632,역삼대로,서울특별시 강남구 역삼동 678-39번지 한국고등교육재단빌딩1층,2013-06-25,37.501824356628,127.039055545454
636,역삼포스코,서울특별시 강남구 역삼동 735-3번지 P&S TOWER,2013-07-09,37.4994358482995,127.033590643935
630,강남대로,서울특별시 강남구 역삼동 809-10번지 한석타워 2층 1-2호,2013-06-20,37.503180982562,127.025630022516
667,청담,서울특별시 강남구 청담동 52-1 인희빌딩 1층,2013-09-17,37.5241804495786,127.051051097026
607,삼성교,서울특별시 강남구 대치동 1001-8 외 2필지 동남유화빌딩1층,2013-04-23,37.5078342454691,127.065186123707
251,학동역,서울특별시 강남구 논현동 87,2004-08-30,37.5146537023346,127.030723973085
200,대치,서울특별시 강남구 대치동 988-17 대진빌딩,2003-05-09,37.5000356671156,127.060649424393
198,신세계푸드마켓도곡,서울특별시 강남구 도곡동 467-17 타워팰리스Ⅱ F 지하1층,2003-01-15,37.4897107879722,127.054490523453
180,삼성,서울특별시 강남구 삼성동 144-25 태리타워 1층,2002-03-29,37.507038444864,127.05555460854
170,선릉세화빌딩,서울특별시 강남구 대치동 889-70 세화빌딩 1층,2001-11-10,37.5042266383338,127.049353960289
158,압구정역,서울특별시 강남구 신사동 580-2 관영빌딩 1층 지하1층,2001-03-10,37.5265162500329,127.027674903056
283,압구정로,서울특별시 강남구 신사동 635-13,2007-12-21,37.5268060405864,127.034729575092
279,구역삼사거리,서울특별시 강남구 역삼동 747-21,2008-05-28,37.4959270612276,127.038871314444
278,큰길타워,서울특별시 강남구 역삼동 677-25 큰길타워,2005-03-10,37.5023662011258,127.040716940362
275,강남구청역,서울특별시 강남구 논현동 241-7 웰빙센터 1층,2005-04-20,37.5166218046392,127.041240374346
