매점명,주소,위도,경도
강릉입암점,강원특별자치도 강릉시 성덕로 316-11 (입암동) 104호,37.7550500049515,128.920986335265
지행역점,"경기 동두천시 동두천로 119 (지행동, 지행역프라자) 1층 121호",37.8920674099318,127.054630551128
제주연오점,"제주특별자치도 제주시 연오로 95 (연동, 연오빌라) 101호",33.4846992524412,126.501757869095
전주해성점,전북특별자치도 전주시 완산구 계룡산길 84 (삼천동2가) 1층,35.7870271610852,127.104541529935
숭례문점,서울 중구 세종대로 27 (봉래동1가) 1층,37.559279875433,126.974083218612
여수산단점,"전남 여수시 여수산단로 179 (주삼동, 주삼동주유소) 1층",34.7998972662215,127.662404732865
영주아이파크점,"경북 영주시 남간로71번길 41 (휴천동, 영주 아이파크) 상가 104호",36.8203252910419,128.634918957998
보령대천점,충남 보령시 번영로 41 (대천동) 1층,36.3503417603929,126.592189501913
장수읍점,전북특별자치도 장수군 장수읍 장수리 475-6 1층 더벤티 장수읍점,35.6482759400823,127.518905167247
울산삼산점,울산 남구 삼산로317번길 28 (삼산동) 1층,35.5424218592701,129.342073722748
평택장당점,경기 평택시 송탄로 71 (이충동) 1층 더벤티,37.0516721805409,127.055727505518
삼척터미널점,"강원특별자치도 삼척시 봉황로 9-22 (남양동, 삼척종합버스터미널) 1층",37.4401079527207,129.168735339374
장성황룡점,전남 장성군 장성읍 뱃나드리로 199 (영천리) 1층,35.2913701474693,126.77543413736
대전도안호수공원점,"대전 유성구 원신흥로 122-11 (원신흥동, 명경프라자Ⅱ) 107호",36.3399400074819,127.349914687035
방이올림픽점,서울 송파구 가락로 275 (방이동) 102~102호,37.512503939469,127.11941833233
대전유성구청점,대전 유성구 어은로48번길 5 (어은동) 1층,36.3628697117488,127.357431408623
대전관저마치광장점,대전 서구 구봉로 125 (관저동) 지하1층 B102호,36.2966967938557,127.336945426325
경주중앙점,경북 경주시 계림로 96-1 (황오동) 1층,35.8428525997954,129.213632982255
광명철산점,"경기 광명시 철산로30번길 24 (철산동, 서울종합빌딩) 1층",37.4744585365014,126.869633993488
전주평화새강병원점,전북특별자치도 전주시 완산구 백제대로 20 (평화동1가) 1층,35.7968808130351,127.132157144207
울산온양점,"울산 울주군 온양읍 연안2길 2 (대안리, 상아대안1차아파트) 109호",35.4099511408946,129.282491791785
김포북변점,경기 김포시 북변중로 103 (북변동) 1층,37.6284607369772,126.706065795238
시흥대야역점,"경기 시흥시 은계중앙로 374 (대야동, 골드웨이Ⅱ) 104동",37.4509288480364,126.795087271488
광주풍암점,광주 서구 풍암2로 61 (풍암동) 1층,35.1224238464815,126.882036402762
포항해도점,경북 포항시 남구 희망대로 1019 (해도동) 1층,36.0223724971313,129.37591474059
여수미평주공점,"전남 여수시 미평로 82 (미평동, 미평빌딩) 미평빌딩 108호",34.7700938390959,127.709504275679
대전도안점,대전 유성구 도안대로 512-21 (봉명동) 1층,36.3459946287607,127.341513111663
천안병천점,충남 천안시 동남구 병천면 아우내순대길 16 (병천리) 1층 더벤티 천안병천점,36.7591445671574,127.2974507552
과기대협동문점,서울 노원구 공릉로58길 87 (하계동) 1층,37.6356495339839,127.073244801276
강서마곡점,"서울 강서구 공항대로 219 (마곡동, 센테니아) 센테니아 113호",37.5596348826715,126.83201084043
나주스카이센트럴점,"전남 나주시 문화로 184 (빛가람동, 스카이센트럴461오피스텔) 스카이센트럴 101호",35.0151268755865,126.783705398507
화순중앙점,전남 화순군 화순읍 진각로 111-3 (향청리) 1층,35.0612751365464,126.985646030883
한림대강남성심병원점,서울 영등포구 신길로 14 (신길동) 비01호,37.4939482607251,126.909223058742
전주인후점,전북특별자치도 전주시 덕진구 건산로 227 (인후동1가) 1층,35.8343224578985,127.162164642843
대구두류스타힐스점,대구 서구 서대구로8길 3 (내당동) 1층 더벤티,35.8615395949765,128.557075311144
제주연동점,제주특별자치도 제주시 연동7길 27 (연동) 1층,33.4872787930249,126.490996096786
원주소초점,강원특별자치도 원주시 소초면 치악로 2335 (흥양리) 1층,37.3836922357711,127.975354200086
인천송도레이크4차점,"인천 연수구 아카데미로312번길 31 (송도동, 힐스테이트 레이크 송도 4차) 439동 104호",37.3915241476665,126.615691117206
순천오네뜨점,"전남 순천시 충효로 103-1 (연향동, SKT) 1층",34.9482092630436,127.514775799325
광주목현점,경기 광주시 이배재로 419 (목현동) 1층,37.4335770849612,127.21354164717
부산강서구청점,부산 강서구 대저로 265 (대저1동) 1층 더벤티,35.2133519742396,128.98138635112
양산평산점,경남 양산시 평산남로 66 (평산동) 1층,35.3779172693297,129.149114016367
남양주오남점,경기 남양주시 오남읍 진건오남로 533 (오남리) 1층,37.6814341049645,127.209551296402
인천동춘점,"인천 연수구 앵고개로246번길 10 (동춘동, 대산프라자) 109호",37.4084167115333,126.67060441392
환호힐스테이트점,경북 포항시 북구 새천년대로 1344-1 (양덕동) 108호,36.0757474616925,129.39344793137
동탄장지점,경기 화성시 동탄장지천5길 4-1 (장지동) 1층 더벤티,37.158111523452,127.106853048218
이마트서수원점,"경기 수원시 권선구 수인로 291 (구운동, 서수원버스터미널) 1102호",37.28262996578,126.97014551047
의정부신시가지점,"경기 의정부시 신흥로 223 (의정부동, 성원빌딩) 1층",37.7361661181095,127.043067766765
삼양점,서울 강북구 솔샘로 236 (미아동) 1층 더벤티,37.6197797087002,127.018811222114
마산역점,"경남 창원시 마산회원구 3.15대로 683 (석전동, 황치과) 1층",35.2339299086949,128.578613093085
창원팔용사화점,경남 창원시 의창구 남산로17번길 12 (팔용동) 1층,35.2602173108428,128.613004116187
대전대흥점,대전 중구 보문로 258-1 (대흥동) 103호,36.3256671612062,127.422303756473
인천계산중앙점,인천 계양구 계산로 148 (계산동) 1층,37.53697733668,126.728658038695
강릉옥계점,강원특별자치도 강릉시 옥계면 현내시장길 70 (현내리) 1층,37.6097622322279,129.035511360285
칠곡3지구점,"대구 북구 학정로 421 (동천동, 일도프라자) 109호",35.9423756671288,128.563087719713
여수고인돌점,전남 여수시 대통로 87 (화장동) 1층,34.7766712340235,127.645643348827
구리돌다리점,경기 구리시 검배로 3 (수택동) 1층,37.6007585000995,127.141718425186
청주가경우체국점,충북 청주시 흥덕구 풍년로95번길 4 (가경동) 1층 일부호,36.6216324007925,127.436021161962
진주상평점,경남 진주시 돗골로 30 (상평동) 1층 더벤티,35.1708782434603,128.112966504377
대전시청점,"대전 서구 둔산남로 85 (둔산동, 크레온오피스텔) 106호",36.3493121288191,127.387095171543
대구월배역디엘점,"대구 달서구 월배로 159 (진천동, 월배역 디엘 라온프라이빗) 113호 더벤티",35.81730117385,128.52980391376
여수수산시장점,"전남 여수시 충무로 23-1 (교동, 수협) 1층",34.73861707559,127.731197075999
아산탕정역점,"충남 아산시 탕정면 한들물빛도시로 70 (매곡리, 한들물빛도시지웰시티센트럴푸르지오2단지) C동 111호 더벤티 아산탕정역점",36.7851754497874,127.084673266115
천안목천점,"충남 천안시 동남구 목천읍 충절로 921 (신계리, 시온빌딩) 101~102호 더벤티 천안목천점",36.7750923682288,127.21203718393
인천계양제일풍경채점,인천 계양구 마장로544번길 10 (효성동) 제일풍경채계양 위너스카이 1단지 판매시설동 1층 C-104호,37.5258138870392,126.705784583334
오목교역점,서울 양천구 오목로 328 (목동) 1층,37.5244545693799,126.873821642189
부산안락점,부산 동래구 연안로59번길 89-2 (안락동) 1층 더벤티 부산안락점,35.1946458396207,129.103320177601
이마트연수점,"인천 연수구 경원대로 184 (동춘동, 이마트) 지상 1층 일부호, 더벤티 이마트연수점",37.4042185993456,126.681119564924
신안지도점,전남 신안군 지도읍 읍내리 191-2 B-10,35.0596656364398,126.207426895677
양산산막산업단지점,경남 양산시 산막공단북9길 43 (산막동) 1층 더벤티,35.3711798284882,129.064424545111
포항효자SK뷰점,경북 포항시 남구 효성로 79 (효자동) 1층 더벤티,36.0059547135845,129.342507320627
동두천중앙역점,경기 동두천시 어수로 108 (생연동) 1층,37.9020015410841,127.054546363708
성신여대점,서울 성북구 보문로34길 77 (동선동1가) 1층,37.5913951714064,127.019489103554
아산모종점,"충남 아산시 모종로22번길 33 (모종동, 모종캐슬어울림2단지) 1층",36.7815958072853,127.02121914576
군위군청점,대구 군위군 군위읍 군청로 200-1 (동부리) 1층,36.2408614974907,128.57266221691
부천조마루사거리점,"경기 부천시 원미구 부천로 151 (심곡동, 운현프라자) 1층",37.4977438380463,126.785460194013
문경중앙점,경북 문경시 중앙로 116-1 (점촌동) 1층 더벤티,36.5953529154172,128.199612413638
문정법조타운점,"서울 송파구 법원로8길 8 (문정동, 문정역2차 SK V1) 120호",37.4840522567721,127.121965851587
완도중앙점,전남 완도군 완도읍 개포로 171 (가용리) 1층,34.320188769169,126.746819708786
안성두원공대점,"경기 안성시 죽산면 관음당길 51 (장원리, 두원공과대학교) 1층 더벤티 안성두원공대점",37.0657187174804,127.4237691831
구미삼성점,경북 구미시 진평2길 71 (진평동) 1층 더벤티 구미삼성점,36.1047540996082,128.417979466967
광주소촌모아엘가점,"광주 광산구 소촌로 100 (소촌동, 소촌동 모아엘가) 109동 114호",35.1534396036734,126.793122942341
광진우체국점,"서울 광진구 강변역로 2 (구의동, 광진우체국) 1층 더벤티",37.5377539588105,127.089961052081
대전관평테크노밸리점,대전 유성구 테크노4로 29 (관평동) 1층 102호,36.4312030537409,127.393624874525
원주시청점,"강원특별자치도 원주시 시청로 22 (무실동, 리젠트프라자) 104호",37.3401980492319,127.922256654508
송파가락점,서울 송파구 송이로 91 (가락동) 1층,37.4980680114469,127.120952430288
언양교동점,울산 울주군 삼남읍 봉화로 19 (교동리) 1층,35.5578178672628,129.11758043641
익산부송라온점,전북특별자치도 익산시 마한로 211 (부송동) 101호,35.9665016955114,126.987116333046
익산평화하늘채점,"전북특별자치도 익산시 익산대로8길 9 (평화동, 익산역 하늘채 더 퍼스트) 지1층 6층",35.9347059680492,126.946763201182
롯데마트전주점,"전북특별자치도 전주시 완산구 우전로 240 (효자동2가, 롯데마트) 롯데마트 1층",35.8165278029153,127.102498684523
시흥디원시티점,경기 시흥시 시흥대로 490 (광석동) 디원시티마일스톤한라 B105호,37.3844585679301,126.80604609495
도화초점,"인천 미추홀구 경인로246번길 5 (도화동, 버드나무아파트) 103호 더벤티 도화초점",37.4632649899131,126.669436845127
광주수완대방5차점,광주 광산구 장신로64번길 9-14 (장덕동) 1층 더벤티,35.1901295937359,126.818372475794
대구고성점,"대구 북구 고성북로 34 (고성동3가, 오페라 트루엘 시민의 숲 아파트) 301동 105호",35.8831660433219,128.584072679414
천안불당점,"충남 천안시 서북구 검은들3길 52 (불당동, 드림프라자) 106호 더벤티 천안불당점",36.8100368665423,127.109330969418
순천선평삼거리점,전남 순천시 가곡동 5-5 1층,34.9912005922776,127.494155577264
수성레이크점,대구 수성구 두산동 837-1 1~3층,35.8251987192527,128.622041622217
아산배방삼성점,"충남 아산시 배방읍 배방로173번길 1 (북수리, 패밀리마트) 1층 102호",36.7704852607958,127.065250761077
완주삼례우석대점,전북특별자치도 완주군 삼례읍 동학로 104 (삼례리) 1층,35.9152684066091,127.069241045845
부산온천점,부산 동래구 온천동 210-47 1층 더벤티 부산온천점,35.2189697381696,129.081695721598
토성동서구청점,부산 서구 까치고개로 246 (토성동1가) 1층 101호,35.0994842743057,129.022614061948
부천춘의역점,경기 부천시 원미구 부천로 229-7 (춘의동) 1층 일부호,37.5044313559376,126.786650621688
별내로데오점,"경기 남양주시 별내중앙로 54 (별내동, 예스프라자프론티어) 1층 106호",37.6473160736326,127.123868559782
경주용황휴포레점,"경북 경주시 용황로7길 8 (용강동, 협성휴포레용황) 302동 403호",35.8849895401585,129.226122430279
고덕베네루체점,"서울 강동구 구천면로 640 (상일동, 고덕 롯데캐슬 베네루체(상가A동)) 109호",37.5502858368826,127.169085796412
수유역점,서울 강북구 오패산로 414 (번동) 1층 더벤티,37.6377260641478,127.026489761964
쌍문초점,서울 도봉구 노해로 137 (쌍문동) 1층 더벤티,37.6472417886518,127.025356050261
진천양우점,"충북 진천군 진천읍 농다리로 1431 (신정리, 양우내안애 해오르미) 상가동 102호",36.8471459088682,127.454863800261
사직삼거리점,부산 동래구 아시아드대로 183 (사직동) 1층 더벤티 사직삼거리점,35.2009229496178,129.064600074858
홍성내포점,"충남 홍성군 홍북읍 청사로48번길 4 (신경리, 아이프라자) 101호",36.6486396715518,126.675262050523
의정부중앙역점,경기 의정부시 호국로 1308 (의정부동) 1층 더벤티,37.7434232887773,127.049391067879
이마트안산고잔점,"경기 안산시 단원구 원포공원1로 46 (초지동, 이마트) 3층 3110호",37.3031149487989,126.812920187596
대전대점,대전 동구 대학로 62-10 (용운동) 1층,36.3353668399028,127.457004456797
횡성둔내점,강원특별자치도 횡성군 둔내면 둔방내리 88-7 1층 더벤티 횡성둔내점,37.5131015593442,128.2135882326
서초교대점,"서울 서초구 사임당로17길 68 (서초동, 서초빌딩) 1층 4호",37.4919101390805,127.016989995845
화정로데오점,"경기 고양시 덕양구 화신로260번길 37 (화정동, 진솔그린프라자) 102호",37.6324862847684,126.832531142112
김제금구점,전북특별자치도 김제시 금구면 봉두로 76 (금구리) 1층,35.7752590936323,127.010135279849
익산동산점,전북특별자치도 익산시 동천로 81-21 (동산동) 1층,35.9303065560449,126.970263384968
익산팔봉점,전북특별자치도 익산시 무왕로 1332 (팔봉동) 1층,35.9619375367378,127.00421364221
대전월평점,대전 서구 대덕대로 325 (월평동) 스타게이트 1층 65호,36.361914557373,127.378926537199
천안쌍용점,"충남 천안시 서북구 월봉로 128 (쌍용동, 知&美빌딩) 1층",36.8021267682049,127.119052378427
광양중마점,전남 광양시 광장로 139-1 (중동) 1층,34.9364782223553,127.694832643484
선릉역점,"서울 강남구 테헤란로 327 (역삼동, 빅토리아오피스텔) 101-b호",37.504424108842,127.047222903908
부산동래점,"부산 동래구 명륜로129번길 36 (명륜동) 1,2층 더벤티 부산동래점",35.2053490363651,129.080227352788
역곡북부역점,경기 부천시 원미구 부일로 748 (역곡동) 1층 101,37.4859325939518,126.78267201802
동인칸타빌점,대구 중구 공평로 100 (동인동1가) 나동,35.8728382539051,128.601370603245
대전산성점,대전 중구 보문산로 37 (산성동) 1층,36.3047576880828,127.384696297429
김포풍무역점,경기 김포시 김포대로 699 (풍무동) 드림시티 1층 110호,37.6117999367693,126.732914262785
대구수성1가점,"대구 수성구 수성로75길 16 (수성동1가, 유성푸르나임) 1층 더벤티",35.8579231665833,128.612948775365
철원문혜리점,강원특별자치도 철원군 갈말읍 두루미로 95-1 (문혜리) 1층,38.1847613680451,127.320483844769
관악행운점,서울 관악구 관악로 200 (봉천동) 101호,37.4826749700262,126.954148680121
대구두류점,대구 달서구 야외음악당로39길 51 (두류동) 1층 더벤티,35.8541313886188,128.553799905338
롯데마트아산터미널점,"충남 아산시 번영로 225 (모종동, 아산시외버스터미널복합시설) 아산시외버스터미널복합시설 1동 지하1층 102호 일부 (롯데마트)",36.7846406948284,127.015900817212
인천용현유원점,"인천 미추홀구 아암대로29번길 86 (용현동, 백제당빌딩) 102호",37.45631794274,126.640903617026
미사중앙점,"경기 하남시 미사강변중앙로 219 (망월동, 레이크힐) 레이크힐 104호",37.5660399138275,127.188608624388
영도동삼점,부산 영도구 동삼로28번길 14 (동삼동) 1층 더벤티,35.0767510634863,129.072379574578
회현역점,서울 중구 남대문시장8길 26 (남창동) 1층,37.5592372383262,126.978467904444
현대기아로점,경기 화성시 팔탄면 현대기아로 42 (노하리) 1층 더벤티,37.1579421905922,126.849404887744
광주첨단시리단길점,광주 광산구 임방울대로826번길 19-23 (쌍암동) 1층,35.2167465260066,126.850046181655
인천주안역점,"인천 미추홀구 주안로 112 (주안동, 대동빌딩) 1층 더벤티 인천주안역점",37.4636610888271,126.682085232108
