브랜드명,지역,매장명,주소,위도,경도
스타벅스,서울,동교,서울특별시 마포구 동교동 205-6 영준빌딩 1층,37.5568649972453,126.919993640697
스타벅스,서울,대한상공회의소R,서울특별시 중구 남대문로4가 45 대한서울상공회의소 1층,37.5605527543545,126.973858452822
스타벅스,서울,길음역,서울특별시 성북구 돈암동 625-2 BR빌딩,37.6020540520962,127.025324964896
스타벅스,서울,왕십리역,서울특별시 성동구 도선동 58-1,37.5628017191711,127.03397786808
스타벅스,서울,대학로,서울특별시 종로구 연건동 128-8 홍익대학교 대학로캠퍼스 內,37.5764916392943,127.001470988378
스타벅스,서울,동대문두타,서울특별시 중구 을지로6가 18-12 두산타워빌딩,37.5688141257209,127.008752353996
스타벅스,서울,미아이마트,서울특별시 성북구 길음동 25-2 신세계 이마트 미아점,37.6108563263258,127.029727880853
스타벅스,서울,종로관수,서울특별시 종로구 관수동 3-5번지,37.569754276151,126.988676651098
스타벅스,서울,회기역사거리,"서울특별시 동대문구 회기동 346-18, 36",37.5908189073182,127.056057049768
스타벅스,서울,환구단,서울특별시 중구 소공동 87-10,37.564816181217,126.979318148137
스타벅스,서울,숭례문,서울특별시 중구 남대문로5가 6-1번지 그레이츠 숭례 1층,37.558740419716,126.973148099687
스타벅스,서울,종암DT,서울특별시 성북구 종암동 29-10,37.5919078035822,127.036083786219
스타벅스,서울,순화동더샵,서울특별시 중구 순화동 151번지 1층,37.5601777993529,126.972065464999
스타벅스,서울,신설동역,서울특별시 동대문구 신설동 76-10,37.5767111623721,127.025533620968
스타벅스,서울,신당역사거리,서울특별시 중구 흥인동 86 KT 동대문지사,37.5660356869895,127.016644384467
스타벅스,서울,미아,서울특별시 성북구 하월곡동 89-7 부영빌딩,37.6076008782412,127.029340847724
스타벅스,서울,연세세브란스,서울특별시 중구 남대문로5가 84-11 연세세브란스빌딩,37.5571112685549,126.973690683544
스타벅스,서울,경희대,서울특별시 동대문구 회기동 16-41 지하1층~지상3층,37.5929200710495,127.052822057518
스타벅스,서울,을지로4가역,"서울특별시 중구 을지로4가 323 118호,119호,202호 일부",37.5661792773675,126.997322386986
스타벅스,서울,회현역,"서울특별시 중구 회현동1가 206 리더스뷰남산 107,108호",37.5591275120652,126.980636557364
스타벅스,서울,숭례문북창,서울특별시 중구 남대문로4가 17-19,37.5615970265873,126.976968686944
스타벅스,서울,서대문역,서울특별시 종로구 평동 222 디타워(돈의문),37.5667350238449,126.966357200132
스타벅스,서울,금호역,서울특별시 성동구 금호동4가 1483,37.5480574512772,127.015344113305
스타벅스,서울,황학사거리,서울특별시 성동구 하왕십리동 700 센트라스,37.56131,127.02715
스타벅스,서울,상왕십리역,서울특별시 성동구 하왕십리동 1070-3 서울동인병원,37.5650969466929,127.028033034266
스타벅스,서울,반포원베일리,서울특별시 서초구 반포동 0 원베일리 스퀘어,37.5040052,127.0017984
스타벅스,서울,신논현역,"서울특별시 서초구 반포동 747-13, 1층",37.5043755164343,127.023102504191
스타벅스,서울,강남역5번출구호정빌딩,서울특별시 서초구 서초동 1327-35 호정빌딩,37.4956303142862,127.027093111041
스타벅스,서울,서이초교사거리,서울특별시 서초구 서초동 1332-4 폭스타운,37.491883347466,127.025234461608
스타벅스,서울,동작대로,서울특별시 서초구 방배동 438-16,37.4830341216293,126.982346745376
스타벅스,서울,종로플레이스,서울특별시 종로구 인의동 28-2 종로플레이스,37.5731377743929,126.998354975801
스타벅스,서울,강남르피에드,서울특별시 서초구 서초동 1321-7,37.4956746205474,127.025161328523
스타벅스,서울,대륭서초타워,서울특별시 서초구 서초동 1337-20 대륭서초타워,37.4924060539713,127.028649258886
스타벅스,서울,강북삼성병원1층,서울특별시 종로구 평동 108-1외 12필지 강북삼성병원 효석관(본관) 1층,37.5682917234497,126.968159095092
스타벅스,서울,동숭길입구,서울특별시 종로구 혜화동 90-18 혜화동씨티밸리 101호,37.5842582870584,127.002080022002
스타벅스,서울,서울대치과병원,서울특별시 종로구 연건동 275-1 서울대학교 치과병원 신관1층,37.5774740926489,126.999891434786
스타벅스,서울,서대문적십자,서울특별시 종로구 평동 164 서울적십자병원 별관 상가동 1층 B호,37.5673497602994,126.966949140848
스타벅스,서울,리저브광화문,서울특별시 종로구 세종로 100 KT 광화문 빌딩 West,37.5721425606736,126.977954569387
스타벅스,서울,뉴코아강남B1,서울특별시 서초구 잠원동 70-2 뉴코아백화점,37.5083533094199,127.005979601371
스타벅스,서울,서울웨이브아트센터,서울특별시 서초구 잠원동 149-2,37.5182995138298,127.007228078015
스타벅스,서울,성신여대정문,서울특별시 성북구 동선동2가 134 모아빌딩,37.5907991654736,127.018933117451
스타벅스,서울,을지로경기빌딩,서울특별시 중구 삼각동 115 경기빌딩,37.5672077748687,126.983230391711
스타벅스,서울,을지로2가,서울특별시 중구 을지로2가 88-5,37.56541,126.98584
스타벅스,서울,국립중앙의료원,서울특별시 중구 을지로6가 18-131 을지회관,37.5665389939083,127.006365700134
스타벅스,서울,을지로국제빌딩,서울특별시 중구 다동 111 국제빌딩,37.5669640973405,126.982283152706
스타벅스,서울,명동메트로,서울특별시 중구 을지로2가 199-33 메트로호텔,37.5651278052369,126.983728658806
스타벅스,서울,별다방,서울특별시 중구 회현동2가 88 스테이트타워 남산,37.5601439201162,126.982929217287
스타벅스,서울,퍼시픽타워,서울특별시 중구 서소문동 135 퍼시픽타워 1층,37.5613089549263,126.973030487026
스타벅스,서울,한국은행교차로,서울특별시 중구 남대문로2가 111-1 프리즈마111 1층,37.5624139846452,126.98117253803
스타벅스,서울,소공로,서울특별시 중구 소공동 70번지 삼영빌딩 1층일부,37.563765595775,126.980776839401
스타벅스,서울,한양대복지관,서울특별시 성동구 사근동 110 한양대학교 복지관,37.557583164775,127.048167162612
스타벅스,서울,강일역,"서울특별시 강동구 강일동 723, 1층",37.5575074224958,127.173491431135
스타벅스,서울,을지로한국빌딩,서울특별시 중구 을지로2가 198번지 1층,37.5656470870723,126.983353325031
스타벅스,서울,명동역,서울특별시 중구 충무로1가 25-52 건물전체,37.5608622201549,126.983105390255
스타벅스,서울,이케아강동,서울특별시 강동구 고덕동 353-23,37.5662691106071,127.157518963497
스타벅스,서울,장충라운지R,"서울특별시 중구 장충동1가 48-16,48-17,48-46,48-15,48-49,48-14",37.56041,127.00706
