지점ID,매점명,매점주소,전화번호,위도,경도
1903894,전농동사거리점,서울특별시 동대문구 사가정로 97 (전농동) 1층,02-3394-5504,37.5766474882444,127.055988010504
1903871,파주오두산통일전망대점,경기도 파주시 탄현면 필승로 369 (오두산통일전망대) 4층,031-944-8990,37.7730692589013,126.677090033064
1903869,인천영종한빛타워점,"인천광역시 중구 쪽빛하늘로 72 (운남동) 한빛타워 106, 107, 108호",032-713-4562,37.4775780136785,126.527891582832
1903788,홍제역점,"서울특별시 서대문구 통일로 455 (홍제동, 경인주유소) 서울시 서대문구  홍제동 330-61",02-2135-2270,37.5891287172466,126.943337675172
1903851,대구지산광장점,"대구광역시 수성구 용학로 297-7 (지산동) 1,2층 (지산동)",053-781-3335,35.8222543580266,128.639852800559
1903852,아산CGV점,충청남도 아산시 온천대로 1538 (온천동) 1층 투썸플레이스,041-532-7868,36.7801738066545,127.008594976567
1903875,강남구청역점,서울 강남구 학동로 335,02-511-0456,37.5169881563922,127.039650741179
1903867,남해창선점,경남 남해군 창선면 대벽리 15,010-4559-6193,34.9160569008913,128.030891805424
1903849,인천공항세인물류센터점,인천광역시 중구 자유무역로 25 (운서동),070-4353-1620,37.4808397517342,126.482851620028
1903812,세종신흥점,세종특별자치시 조치원읍 신흥리 166-11,044-866-4731,36.5921281385542,127.28782769762
1903850,인천영종운서점,인천광역시 중구 햇내로28번길 10,032-746-7040,37.4910536213316,126.498497610341
1903818,내포신도시점,충청남도 홍성군 홍북읍 홍학로 91 (내포마트) 1층 투썸플레이스,041-631-8830,36.6471745997714,126.675952599324
1903786,판교봇들마을점,경기 성남시 분당구 삼평동 721 스타식스코아 1층 101~103호,０３１-７０２-２１２０,37.4036997262587,127.115686897446
1903833,청주산남중앙점,충청북도 청주시 서원구 산미로 95 (산남동) 투썸플레이스,043-283-2830,36.6059770015448,127.470952826234
1903886,인천계양구청점,인천광역시 계양구 계산동 1081-9,032-272-1704,37.5357641689222,126.736871545553
1903821,대구시지욱수천점,대구 수성구 신매동 88-5,053-793-0022,35.8351545578097,128.712028402906
1903863,군위서부네거리점,대구광역시 군위군 군위읍 도군로 2708 1층,054-382-2323,36.2411019769261,128.56686906409
1903827,광주상무메이루즈점,"광주광역시 서구 시청로 27, 1층 129호",062-371-3583,35.1509214524007,126.850836268734
1903822,광주운천호수공원점,광주광역시 서구 마륵복개로 149,062-382-2200,35.1473269064835,126.853411954706
1903734,인천효성점,"인천광역시 계양구 새벌로 112, 1층 108호 (효성동, 마스터즈)",032-556-1000,37.5270633756744,126.717512850295
1903826,서정리역점,"경기도 평택시 정암로 31 (이충동, 평택고덕코아루더블루시티) 101,102,103호",031-665-2243,37.0570717695144,127.057442171984
1903829,신림녹두거리점,서울 관악구 신림로 127,02-877-2525,37.4708080284167,126.935250407313
1903785,명동역점,"서울특별시 중구 퇴계로 108 (회현동3가, 세대빌딩) 1층 투썸플레이스",02-6953-7307,37.5604912778834,126.983733628489
1903787,보라매역점,"서울특별시 영등포구 여의대방로 145 (신길동, 세인트빌딩)",02-6953-2160,37.5002104691442,126.919990345257
1903765,안산각골공원점,경기도 안산시 상록구 각골로 63 (본오동) 1층,031-418-8999,37.2951870894765,126.872431520616
1903398,광주상무천변점,광주광역시 서구 내방로 11 (치평동) (치평동 1002),062-372-0310,35.1592377183523,126.842060354023
1903720,대구대곡역점,"대구광역시 달성군 화원읍 비슬로 2685 1,2층 투썸플레이스",053-633-2323,35.7475819641478,128.407082014862
1903783,수원덕산병원점,경기도 수원시 권선구 서부로 1664 (고색동) 수원덕산병원 지하 1층,031-296-6602,37.2576303644698,126.975497703081
1903706,부안격포점,전북특별자치도 부안군 변산면 변산해변로 147 (부안 격포리 113),063-583-3002,35.6376334280128,126.463893756097
1903726,부천옥길점,"경기도 부천시 옥길로 110-11, 1층 104,105,106,107호(옥길동)",032-346-3222,37.4664728369712,126.823095917525
