호선,역명,전화번호,주소
1호선,검단호수공원역,032-451-3157,인천광역시 서구 불로동 608-16
1호선,신검단중앙역,032-567-0311,인천광역시 서구 원당로652
1호선,아라역,032-567-0310,인천 서구 당하동 1238
1호선,계양역,032-710-9105,인천광역시 계양구 다남로 24
1호선,귤현역,032-515-9104,인천광역시 계양구 장제로 1136
1호선,박촌역,032-519-3122,인천광역시 계양구 장제로 지하 992
1호선,임학역,032-541-3113,인천광역시 계양구 장제로 지하 875
1호선,계산역,032-546-3151,인천광역시 계양구 경명대로 지하 1089
1호선,경인교대입구역,032-553-3394,인천광역시 계양구 계양대로 지하 162
1호선,작전역,032-543-3116,인천광역시 계양구 계양대로 지하 73
1호선,갈산역,032-511-4245,인천광역시 부평구 부평대로 지하 286
1호선,부평구청역,032-513-3118,인천광역시 부평구 부평대로 지하 189
1호선,부평시장역,032-512-3119,인천광역시 부평구 부평대로 지하 69
1호선,부평역,032-515-9103,인천광역시 부평구 광장로 지하 15
1호선,동수역,032-516-3121,인천광역시 부평구 경인로 지하 877
1호선,부평삼거리역,032-516-3122,인천광역시 부평구 경인로 지하 765
1호선,간석오거리역,032-434-3123,인천광역시 남동구 경인로 지하 642
1호선,인천시청역,032-441-3124,인천광역시 남동구 예술로 지하 264
1호선,예술회관역,032-441-3125,인천광역시 남동구 예술로 지하 172
1호선,인천터미널역,032-441-3126,인천광역시 미추홀구 예술로 지하 85
1호선,문학경기장역,032-441-3127,인천광역시 연수구 예술로 지하 2
1호선,선학역,032-821-3128,인천광역시 연수구 경원대로 지하 480
1호선,신연수역,032-813-3129,인천광역시 연수구 경원대로 지하 368
1호선,원인재역,032-816-3130,인천광역시 연수구 경원대로 지하 285
1호선,동춘역,032-814-5702,인천광역시 연수구 경원대로 지하 180
1호선,동막역,032-816-5584,인천광역시 연수구 경원대로 지하 80
1호선,캠퍼스타운역,032-451-3183,인천광역시 연수구 송도국제대로 지하 66
1호선,테크노파크역,032-451-3184,인천광역시 연수구 송도국제대로 지하 150
1호선,지식정보단지역,032-451-3185,인천광역시 연수구 인천광역시타워대로 지하 57
1호선,인천대입구역,032-832-3186,인천광역시 연수구 인천광역시타워대로 지하 155
1호선,센트럴파크역,032-451-3187,인천광역시 연수구 인천광역시타워대로 지하 240
1호선,국제업무지구역,032-451-3188,인천광역시 연수구 인천광역시타워대로 지하 334
1호선,송도달빛축제공원역,032-451-3189,인천광역시 연수구 송도동 340
2호선,검단오류역,032-451-4301,인천광역시 서구 검단로 187 (오류동)
2호선,왕길역,032-451-4302,인천광역시 서구 검단로 323 (왕길동)
2호선,검단사거리역,032-451-4303,인천광역시 서구 검단로 473 (왕길동)
2호선,마전역,032-451-4304,인천광역시 서구 완정로 68 (마전동)
2호선,완정역,032-451-4305,인천광역시 서구 원당대로 650 (당하동)
2호선,독정역,032-451-4306,인천광역시 서구 서곶로 760 (백석동)
2호선,검암역,032-451-4307,인천광역시 서구 검바위로 4 (검암동)
2호선,검바위역,032-451-4308,인천광역시 서구 서곶로 492 (검암동)
2호선,아시아드경기장역,032-451-4309,인천광역시 서구 서곶로 382 (연희동)
2호선,서구청역,032-451-4310,인천광역시 서구 서곶로 294 (심곡동)
2호선,가정역,032-451-4311,인천광역시 서구 봉오대로 234 (가정동)
2호선,가정중앙시장역,032-451-4312,인천광역시 서구 가남로 400 (가정동)
2호선,석남역,032-451-4313,인천광역시 서구 가석로 257 (석남동)
2호선,서부여성회관역,032-451-4314,인천광역시 서구 가석로 169 (석남동)
2호선,인천가좌역,032-451-4315,인천광역시 서구 가석로 67 (가좌동)
2호선,가재울역,032-451-4316,인천광역시 서구 열우물로 252 (가좌동)
2호선,주안국가산단역,032-451-4317,인천광역시 서구 방축로 343 (가좌동)
2호선,주안역,032-451-4318,인천광역시 미추홀구 주안로 지하 91-1 (주안동)
2호선,시민공원역,032-451-4319,인천광역시 미추홀구 경인로 371 (주안동)
2호선,석바위시장역,032-451-4320,인천광역시 미추홀구 구월로 19 (주안동)
2호선,인천시청역,032-451-4321,인천광역시 남동구 구월로 지하 99 (간석동)
2호선,석천사거리역,032-451-4322,인천광역시 남동구 구월로 지하 181 (구월동)
2호선,모래내시장역,032-451-4323,인천광역시 남동구 구월로 지하 255 (구월동)
2호선,만수역,032-451-4324,인천광역시 남동구 구월로 지하 367 (만수동)
2호선,남동구청역,032-451-4325,인천광역시 남동구 인주대로 지하 889 (만수동)
2호선,인천대공원역,032-451-4326,인천광역시 남동구 수인로 3677 (장수동)
2호선,운연역,032-451-4327,인천광역시 남동구 매소홀로 1229 (운연동)
7호선,까치울역,032-451-1301,경기도 부천시 원미구 길주로 지하 626 (춘의동)
7호선,부천종합운동장역,032-451-1311,경기도 부천시 원미구 길주로 지하 502 (춘의동)
7호선,춘의역,032-451-1321,경기도 부천시 원미구 길주로 지하 406 (춘의동)
7호선,신중동역,032-451-1331,경기도 부천시 원미구 길주로 지하 314 (중동)
7호선,부천시청역,032-451-1341,경기도 부천시 원미구 길주로 지하 202 (중동)
7호선,상동역,032-451-1351,경기도 부천시 원미구 길주로 지하 104 (상동)
7호선,삼산체육관역,032-451-1361,인천광역시 부평구 길주로 지하 713 (삼산동)
7호선,굴포천역,032-451-1371,인천광역시 부평구 길주로 지하 623 (삼산동)
7호선,부평구청역,032-451-1381,인천광역시 부평구 길주로 지하 527 (갈산동)
7호선,산곡역,032-451-1391,인천광역시 부평구 길주로 지하 379 (산곡동)
7호선,석남(거북시장)역,032-451-1401,인천광역시 서구 길주로 지하 120 (석남동)
