노선명,철도운영기관,역명,주소,위도,경도
1호선,서울교통공사,청량리(서울시립대입구),서울특별시 동대문구 왕산로 지하205(전농동),37.580148,127.045063
1호선,서울교통공사,제기동,서울특별시 동대문구 왕산로 지하93(제기동),37.578116,127.034902
1호선,서울교통공사,신설동,서울특별시 동대문구 왕산로 지하1(신설동),37.576117,127.02471
1호선,서울교통공사,동묘앞,서울특별시 종로구 종로 359(숭인동),37.573265,127.016459
1호선,서울교통공사,동대문,서울특별시 종로구 종로 지하302(창신동),37.571646,127.01069
1호선,서울교통공사,종로5가,서울특별시 종로구 종로 지하216(종로5가),37.570971,127.0019
1호선,서울교통공사,종로3가,서울특별시 종로구 종로 지하129(종로3가),37.570429,126.992095
1호선,서울교통공사,종각,서울특별시 종로구 종로 지하55(종로1가),37.570203,126.983116
1호선,서울교통공사,시청,서울특별시 중구 세종대로 지하101(정동),37.565211,126.977207
1호선,서울교통공사,서울역,서울특별시 중구 세종대로 지하2(남대문로 5가),37.55585,126.972103
2호선,서울교통공사,시청,서울특별시 중구 서소문로 지하127(서소문동),37.563534,126.975271
2호선,서울교통공사,을지로입구,서울특별시 중구 을지로 지하42(을지로1가),37.565998,126.982569
2호선,서울교통공사,을지로3가,서울특별시 중구 을지로 지하106(을지로3가),37.566292,126.990873
2호선,서울교통공사,을지로4가,서울특별시 중구 을지로 지하178(을지로4가),37.566611,126.997622
2호선,서울교통공사,동대문역사문화공원(DDP),서울특별시 중구 을지로 지하279(을지로7가),37.565609,127.009083
2호선,서울교통공사,신당,서울특별시 중구 퇴계로 지하431-1(신당동),37.565675,127.0194259
2호선,서울교통공사,상왕십리,서울특별시 성동구 왕십리로 지하374(하왕십리동),37.564444,127.029322
2호선,서울교통공사,왕십리(성동구청),서울특별시 성동구 왕십리로 지하300(행당동),37.561289,127.0370615
2호선,서울교통공사,한양대,서울특별시 성동구 왕십리로 206(행당동),37.555758,127.0436594
2호선,서울교통공사,뚝섬,서울특별시 성동구 아차산로 18(성수동1가),37.54718,127.047413
2호선,서울교통공사,성수,서울특별시 성동구 아차산로 100(성수동2가),37.544628,127.055983
2호선,서울교통공사,건대입구,서울특별시 광진구 아차산로 243(화양동),37.540408,127.069231
2호선,서울교통공사,구의(광진구청),서울특별시 광진구 아차산로 384-1(구의동),37.537157,127.0862124
2호선,서울교통공사,강변(동서울터미널),서울특별시 광진구 강변역로 53(구의동),37.535161,127.094684
2호선,서울교통공사,잠실나루,서울특별시 송파구 오금로 20(신천동),37.520688,127.103836
2호선,서울교통공사,잠실(송파구청),서울특별시 송파구 올림픽로 지하265(신천동),37.513305,127.100129
2호선,서울교통공사,잠실새내,서울특별시 송파구 올림픽로 지하140(잠실동),37.511653,127.086224
2호선,서울교통공사,종합운동장,서울특별시 송파구 올림픽로 지하23(잠실동),37.511128,127.073841
2호선,서울교통공사,삼성(무역센터),서울특별시 강남구 테헤란로 지하538(삼성동),37.508827,127.063203
2호선,서울교통공사,선릉,서울특별시 강남구 테헤란로 지하340(삼성동),37.504477,127.048974
2호선,서울교통공사,역삼,서울특별시 강남구 테헤란로 지하156(역삼동),37.500658,127.03643
2호선,서울교통공사,강남,서울특별시 강남구 강남대로 지하396(역삼동),37.49805,127.02795
2호선,서울교통공사,교대(법원·검찰청),서울특별시 서초구 서초대로 지하294(서초동),37.493957,127.014431
2호선,서울교통공사,서초,서울특별시 서초구 서초대로 지하233(서초동),37.49191,127.007685
2호선,서울교통공사,방배,서울특별시 서초구 방배로 지하80(방배동),37.481469,126.997627
2호선,서울교통공사,사당,서울특별시 동작구 남부순환로 지하2089(사당동),37.476536,126.981631
2호선,서울교통공사,낙성대(강감찬),서울특별시 관악구 남부순환로 지하1928(봉천동),37.47713,126.963583
2호선,서울교통공사,서울대입구(관악구청),서울특별시 관악구 남부순환로 지하1822(봉천동),37.481233,126.952745
2호선,서울교통공사,봉천,서울특별시 관악구 남부순환로 지하1721(봉천동),37.482416,126.941696
2호선,서울교통공사,신림,서울특별시 관악구 남부순환로 지하1614(신림동),37.484216,126.929573
2호선,서울교통공사,신대방,서울특별시 동작구 대림로 2(신대방동),37.487604,126.913479
2호선,서울교통공사,구로디지털단지,서울특별시 구로구 도림천로 477(구로동),37.4852931,126.901456
2호선,서울교통공사,대림(구로구청),서울특별시 구로구 도림천로 351(구로동),37.4932826,126.8949793
2호선,서울교통공사,신도림,서울특별시 구로구 새말로 지하 117-21(신도림동),37.508815,126.891222
2호선,서울교통공사,문래,서울특별시 영등포구 당산로 지하28(문래동3가),37.517993,126.894766
2호선,서울교통공사,영등포구청,서울특별시 영등포구 당산로 지하121(당산동3가),37.525766,126.896627
2호선,서울교통공사,당산,서울특별시 영등포구 당산로 229(당산동6가),37.534807,126.902611
2호선,서울교통공사,합정,서울특별시 마포구 양화로 지하55(서교동),37.550025,126.914557
2호선,서울교통공사,홍대입구,서울특별시 마포구 양화로 지하160(동교동),37.556748,126.923643
2호선,서울교통공사,신촌(지하),서울특별시 마포구 신촌로 지하90(노고산동),37.555153,126.93689
2호선,서울교통공사,이대,서울특별시 마포구 신촌로 지하180(염리동),37.556734,126.945897
2호선,서울교통공사,아현,서울특별시 마포구 신촌로 지하270(아현동),37.557407,126.956079
2호선,서울교통공사,충정로(경기대입구),서울특별시 서대문구 서소문로 지하17(충정로3가),37.559742,126.964455
2호선,서울교통공사,용답,서울특별시 성동구 용답길 86(용답동),37.562066,127.05087863
2호선,서울교통공사,신답,서울특별시 성동구 천호대로 232(용답동),37.569847,127.047048
2호선,서울교통공사,용두(동대문구청),서울특별시 동대문구 천호대로 지하129(용두동),37.574012,127.03811
2호선,서울교통공사,신설동,서울특별시 동대문구 왕산로 지하 1(신설동),37.574653,127.025158
2호선,서울교통공사,도림천,서울특별시 구로구 경인로67길 160(신도림동),37.5145589,126.882586
2호선,서울교통공사,양천구청,서울특별시 양천구 목동로3길 지하33(신정동),37.5123294,126.865593
2호선,서울교통공사,신정네거리,서울특별시 양천구 중앙로 지하261(신정동),37.520218,126.852849
3호선,서울교통공사,지축,경기도 고양시 덕양구 삼송로 300(지축동),37.648151,126.913751
3호선,서울교통공사,구파발,서울특별시 은평구 진관2로 지하15-25 (진관동),37.636612,126.918827
3호선,서울교통공사,연신내,서울특별시 은평구 통일로 지하849(갈현동),37.619295,126.920959
3호선,서울교통공사,불광,서울특별시 은평구 통일로 지하723-1(대조동),37.610154,126.930183
3호선,서울교통공사,녹번,서울특별시 은평구 통일로 지하602-1(녹번동),37.600882,126.935758
3호선,서울교통공사,홍제,서울특별시 서대문구 통일로 지하440-1(홍제동),37.588851,126.944092
3호선,서울교통공사,무악재,서울특별시 서대문구 통일로 지하361(홍제동),37.582658,126.950131
3호선,서울교통공사,독립문,서울특별시 서대문구 통일로 지하247(현저동),37.574534,126.957902
3호선,서울교통공사,경복궁(정부서울청사),서울특별시 종로구 사직로 지하130(적선동),37.575844,126.973576
3호선,서울교통공사,안국,서울특별시 종로구 율곡로 지하62(안국동),37.576562,126.98547
3호선,서울교통공사,종로3가,서울특별시 종로구 돈화문로 지하30(묘동),37.571537,126.991837
3호선,서울교통공사,을지로3가,서울특별시 중구 을지로 지하129(을지로3가),37.566299,126.992616
3호선,서울교통공사,충무로,서울특별시 중구 퇴계로 지하214(필동2가),37.561382,126.994173
3호선,서울교통공사,동대입구,서울특별시 중구 동호로 지하256(장충동2가),37.55906,127.005273
3호선,서울교통공사,약수,서울특별시 중구 다산로 지하122(신당동),37.554554,127.010858
3호선,서울교통공사,금호,서울특별시 성동구 동호로 지하104(금호동4가),37.548269,127.015785
3호선,서울교통공사,옥수,서울특별시 성동구 동호로 21(옥수동),37.541653,127.017303
3호선,서울교통공사,압구정,서울특별시 강남구 압구정로 지하172(신사동),37.526169,127.028502
3호선,서울교통공사,신사,서울특별시 강남구 도산대로 지하102(신사동),37.516438,127.020247
3호선,서울교통공사,잠원,서울특별시 서초구 잠원로4길 지하46(잠원동),37.512989,127.011613
3호선,서울교통공사,고속터미널,서울특별시 서초구 신반포로 지하188(반포동),37.504953,127.004916
3호선,서울교통공사,교대(법원·검찰청),서울특별시 서초구 서초대로 지하294(서초동),37.49306,127.013796
3호선,서울교통공사,남부터미널(예술의전당),서울특별시 서초구 서초중앙로 지하31(서초동),37.48494,127.016289
3호선,서울교통공사,양재(서초구청),서울특별시 서초구 남부순환로 지하2585(서초동),37.48458,127.03423
3호선,서울교통공사,매봉,서울특별시 강남구 남부순환로 지하2744(도곡동),37.487114,127.046907
3호선,서울교통공사,도곡,서울특별시 강남구 남부순환로 지하2814(도곡동),37.491129,127.055694
3호선,서울교통공사,대치,서울특별시 강남구 남부순환로 지하2952(대치동),37.494601,127.063449
3호선,서울교통공사,학여울,서울특별시 강남구 남부순환로 지하3104(대치동),37.496787,127.0708601
3호선,서울교통공사,대청,서울특별시 강남구 일원로 지하2(일원동),37.493607,127.079526
3호선,서울교통공사,일원,서울특별시 강남구 일원로 지하121(일원동),37.48389,127.08416
3호선,서울교통공사,수서,서울특별시 강남구 광평로 지하270(수서동),37.4875,127.101924
3호선,서울교통공사,가락시장,서울특별시 송파구 송파대로 지하257(가락동),37.492318,127.1177
3호선,서울교통공사,경찰병원,서울특별시 송파구 중대로 지하149(가락동),37.495754,127.124198
3호선,서울교통공사,오금,서울특별시 송파구 오금로 지하321(오금동),37.502288,127.128344
4호선,서울교통공사,불암산,서울특별시 노원구 상계로 305(상계동),37.67009,127.079004
4호선,서울교통공사,상계,서울특별시 노원구 상계로 182(상계동),37.660576,127.073199
4호선,서울교통공사,노원,서울특별시 노원구 상계로 69-1(상계동),37.656274,127.063183
4호선,서울교통공사,창동,서울특별시 도봉구 마들로11길 77(창동),37.653315,127.048304
4호선,서울교통공사,쌍문,서울특별시 도봉구 도봉로 지하 486-1(창동),37.648274,127.034381
4호선,서울교통공사,수유(강북구청),서울특별시 강북구 도봉로 지하338(수유동),37.637727,127.025371
4호선,서울교통공사,미아(서울사이버대학),서울특별시 강북구 도봉로 지하198(미아동),37.626435,127.026151
4호선,서울교통공사,미아사거리,서울특별시 강북구 도봉로 지하50(미아동),37.613276,127.030083
4호선,서울교통공사,길음,서울특별시 성북구 동소문로 지하248(길음동),37.603387,127.025053
4호선,서울교통공사,성신여대입구(돈암),서울특별시 성북구 동소문로 지하102(동선동4가),37.592882,127.016908
4호선,서울교통공사,한성대입구(삼선교),서울특별시 성북구 삼선교로 지하1(삼선동1가),37.58838,127.005951
4호선,서울교통공사,혜화,서울특별시 종로구 대학로 지하120(명륜4가),37.582116,127.001929
4호선,서울교통공사,동대문,서울특별시 종로구 율곡로 지하308(종로6가),37.57099,127.00925
4호선,서울교통공사,동대문역사문화공원(DDP),서울특별시 중구 장충단로 지하230(광희동2가),37.565141,127.007808
4호선,서울교통공사,충무로,서울특별시 중구 퇴계로 지하214(필동2가),37.561352,126.994573
4호선,서울교통공사,명동,서울특별시 중구 퇴계로 지하126(충무로2가),37.560955,126.986271
4호선,서울교통공사,회현(남대문시장),서울특별시 중구 퇴계로 지하54(남창동),37.558698,126.978346
4호선,서울교통공사,서울역,서울특별시 용산구 한강대로 지하392(동자동),37.553172,126.972706
4호선,서울교통공사,숙대입구(갈월),서울특별시 용산구 한강대로 지하306(갈월동),37.5447834,126.9721
4호선,서울교통공사,삼각지(전쟁기념관),서울특별시 용산구 한강대로 지하180(한강로1가),37.534457,126.972992
4호선,서울교통공사,신용산,서울특별시 용산구 한강대로 지하112(한강로2가),37.52919,126.96858
4호선,서울교통공사,이촌(국립중앙박물관),서울특별시 용산구 서빙고로 지하83(용산동5가),37.52919,126.9679818
4호선,서울교통공사,동작(현충원),서울특별시 동작구 현충로 257(동작동),37.503567,126.980171
4호선,서울교통공사,총신대입구(이수),서울특별시 동작구 동작대로 지하117(사당동),37.487521,126.982309
4호선,서울교통공사,사당,서울특별시 동작구 동작대로 지하3(사당동),37.476263,126.981636
4호선,서울교통공사,남태령,서울특별시 서초구 과천대로 지하816(방배동),37.464339,126.989081
5호선,서울교통공사,방화,서울특별시 강서구 금낭화로 지하132(방화동),37.577669,126.812822
5호선,서울교통공사,개화산,서울특별시 강서구 양천로 22(방화동),37.572458,126.806838
5호선,서울교통공사,김포공항,서울특별시 강서구 하늘길 지하77(방화동),37.56217,126.801273
5호선,서울교통공사,송정,서울특별시 강서구 공항대로 지하33(공항동),37.561201,126.812052
5호선,서울교통공사,마곡,서울특별시 강서구 공항대로 지하163(마곡동),37.55865,126.837693
5호선,서울교통공사,발산,서울특별시 강서구 공항대로 지하267(마곡동),37.562182,126.82693
5호선,서울교통공사,우장산,서울특별시 강서구 강서로 지하262(화곡동),37.548864,126.83633
5호선,서울교통공사,화곡,서울특별시 강서구 화곡로 지하168(화곡동),37.541585,126.840436
5호선,서울교통공사,까치산,서울특별시 강서구 강서로 지하54(화곡동),37.53221,126.846466
5호선,서울교통공사,신정(은행정),서울특별시 양천구 오목로 지하179(신정동),37.525001,126.856176
5호선,서울교통공사,목동,서울특별시 양천구 오목로 지하245(목동),37.526088,126.864296
5호선,서울교통공사,오목교(목동운동장앞),서울특별시 양천구 오목로 지하342(목동),37.524557,126.875049
5호선,서울교통공사,양평,서울특별시 영등포구 양산로 지하21(양평동2가),37.525614,126.886177
5호선,서울교통공사,영등포구청,서울특별시 영등포구 양산로 지하116(당산동3가),37.524209,126.895022
5호선,서울교통공사,영등포시장,서울특별시 영등포구 양산로 지하200(영등포동5가),37.52276,126.905143
5호선,서울교통공사,신길,서울특별시 영등포구 경인로114가길 지하9(영등포동1가),37.51763,126.914886
5호선,서울교통공사,여의도,서울특별시 영등포구 여의나루로 지하40(여의도동),37.521678,126.924318
5호선,서울교통공사,여의나루,서울특별시 영등포구 여의동로 지하343(여의도동),37.527045,126.932807
5호선,서울교통공사,마포,서울특별시 마포구 마포대로 지하33(도화동),37.539718,126.946043
5호선,서울교통공사,공덕,서울특별시 마포구 마포대로 지하100(공덕동),37.544005,126.951058
5호선,서울교통공사,애오개,서울특별시 마포구 마포대로 지하210(아현동),37.553592,126.956733
5호선,서울교통공사,충정로(경기대입구),서울특별시 서대문구 충정로 지하 28-1(충정로3가),37.560061,126.962783
5호선,서울교통공사,서대문,서울특별시 종로구 통일로 지하126(평동),37.565812,126.966639
5호선,서울교통공사,광화문(세종문화회관),서울특별시 종로구 세종대로 지하172(세종로),37.571645,126.976568
5호선,서울교통공사,종로3가(탑골공원),서울특별시 종로구 돈화문로11길 지하 26(돈의동),37.572546,126.990447
5호선,서울교통공사,을지로4가,서울특별시 중구 창경궁로 지하51(주교동),37.56728,126.998127
5호선,서울교통공사,동대문역사문화공원(DDP),서울특별시 중구 마른내로 지하162(광희동1가),37.564682,127.00533
5호선,서울교통공사,청구,서울특별시 중구 청구로 지하77(신당동),37.560237,127.01379
5호선,서울교통공사,신금호,서울특별시 성동구 금호로 지하154(금호동2가),37.554504,127.020403
5호선,서울교통공사,행당,서울특별시 성동구 행당로 지하89(행당동),37.557297,127.029482
5호선,서울교통공사,왕십리(성동구청),서울특별시 성동구 왕십리로 지하300(행당동),37.56197,127.037264
5호선,서울교통공사,마장,서울특별시 성동구 마장로 지하296(마장동),37.566066,127.042921
5호선,서울교통공사,답십리,서울특별시 성동구 천호대로 지하300(용답동),37.566833,127.05266
5호선,서울교통공사,장한평,서울특별시 동대문구 천호대로 지하405(장안동),37.561438,127.064601
5호선,서울교통공사,군자(능동),서울특별시 광진구 천호대로 지하550(능동),37.557102,127.079559
5호선,서울교통공사,아차산(어린이대공원후문),서울특별시 광진구 천호대로 지하657(능동),37.552005,127.089609
5호선,서울교통공사,광나루(장신대),서울특별시 광진구 아차산로 지하571(광장동),37.545301,127.103478
5호선,서울교통공사,천호(풍납토성),서울특별시 강동구 천호대로 지하997(천호동),37.538566,127.123539
5호선,서울교통공사,강동,서울특별시 강동구 천호대로 지하1097(천호동),37.53581,127.13249
5호선,서울교통공사,길동,서울특별시 강동구 양재대로 지하1480(길동),37.538022,127.140085
5호선,서울교통공사,굽은다리(강동구민회관앞),서울특별시 강동구 양재대로 지하1572(명일동),37.545442,127.142844
5호선,서울교통공사,명일,서울특별시 강동구 양재대로 지하1632(명일동),37.551317,127.144002
5호선,서울교통공사,고덕,서울특별시 강동구 고덕로 지하253(고덕동),37.555002,127.154214
5호선,서울교통공사,상일동,서울특별시 강동구 고덕로 지하359(상일동),37.556714,127.166381
5호선,서울교통공사,강일,서울특별시 강동구 고덕로 지하456(강일동),37.557521,127.176018
5호선,서울교통공사,미사,경기도 하남시 미사강변동로 지하90(망월동),37.56309,127.192954
5호선,서울교통공사,하남풍산,경기도 하남시 덕풍서로 지하50(덕풍동),37.552201,127.203897
5호선,서울교통공사,하남시청(덕풍∙신장),경기도 하남시 하남대로 지하820(덕풍동),37.541723,127.206901
5호선,서울교통공사,하남검단산,경기도 하남시 대청로 지하100(창우동),37.539729,127.223427
5호선,서울교통공사,둔촌동,서울특별시 강동구 양재대로 지하1369(둔촌동),37.527787,127.136219
5호선,서울교통공사,올림픽공원(한국체대),서울특별시 송파구 양재대로 지하1233(방이동),37.516217,127.130957
5호선,서울교통공사,방이,서울특별시 송파구 양재대로 지하1127(방이동),37.508752,127.126054
