철도운영기관명,선명,역명,도로명주소,위도,경도
코레일,1호선,가능,경기도 의정부시 평화로 633,37.7481929682995,127.044295859357
코레일,1호선,가산디지털단지,서울특별시 금천구 벚꽃로 309,37.4815957375443,126.882559483336
코레일,1호선,간석,인천광역시 남동구 석정로 522-14,37.4646879052409,126.693451172704
코레일,1호선,개봉,서울특별시 구로구 경인로40길 47,37.4945222528654,126.859102583368
코레일,1호선,관악,경기도 안양시 만안구 경수대로1273번길 46,37.4188017578979,126.909121118476
코레일,1호선,광명,경기도 광명시 광명역로 21,37.4163635638303,126.884877197434
코레일,1호선,광운대,노원구 석계로 98-2,37.6230335564713,127.06176348127
코레일,1호선,구로,서울특별시 구로구 구로중앙로 174,37.5024345090279,126.881491595821
코레일,1호선,구일,서울시 구로구 구일로 133,37.4963911827294,126.869920428658
코레일,1호선,군포,경기도 군포시 군포역1길 27,37.354076121748,126.948484962089
코레일,1호선,금정,경기도 군포시 군포로 750(금정동),37.3722878708479,126.943387264162
코레일,1호선,금천구청,서울특별시 금천구 시흥대로63길 91,37.455609978438,126.894514076077
코레일,1호선,남영,서울특별시 용산구 한강대로77길 25,37.5405646005342,126.971332437837
코레일,1호선,노량진,서울특별시 동작구 노량진로 151,37.5158018563556,126.948358503121
코레일,1호선,녹양,경기도 의정부시 평화로 757,37.7594333822655,127.042230921585
코레일,1호선,녹천,서울특별시 도봉구 덕릉로 376,37.6456959058103,127.050919992127
코레일,1호선,당정,경기도 군포시 당정역로 91,37.3444543328447,126.948347418727
코레일,1호선,대방,서울특별시 영등포구 여의대방로 300,37.5133254586186,126.926303024833
코레일,1호선,덕계,경기도 양주시 덕계로 126,37.8186056973876,127.056562659671
코레일,1호선,덕정,경기도 양주시 화합로 1356,37.844320886289,127.061870541445
코레일,1호선,도봉,서울특별시 도봉구 도봉로 170길 2,37.6803629061562,127.045764016316
코레일,1호선,도봉산,서울특별시 도봉구 도봉로 948,37.688861412909,127.046140090232
코레일,1호선,도원,인천광역시 동구 참외전로 245번지,37.468791983109,126.642404388038
코레일,1호선,도화,인천광역시 미추홀구 숙골로 24번길 9,37.4661106428252,126.668375888234
코레일,1호선,독산,서울특별시 금천구 벚꽃로115,37.4659873169402,126.889514168718
코레일,1호선,동두천,경기도 동두천시 평화로 2687(동두천역),37.9278370541411,127.054940223638
코레일,1호선,동두천중앙,경기도 동두천시 동두천로 228,37.9018057802045,127.056238895955
코레일,1호선,동암,인천부평구 동암광장로 10,37.4710056673671,126.702935214739
코레일,1호선,동인천,인천광역시 중구 참외전로 121,37.4758761372275,126.631812648275
코레일,1호선,두정,충청남도 천안시 서북구 두정로 289,36.8329346310528,127.149020699344
코레일,1호선,망월사,경기도 의정부시 평화로 221,37.7105982368099,127.047328366987
코레일,1호선,명학,경기도 안양시 만안구 안안로 20,37.3849963193306,126.935210449165
코레일,1호선,방학,서울시 도봉구 방학동 728,37.6659266659282,127.044415235348
코레일,1호선,배방,충청남도 아산시 배방읍 온천대로 1967,36.7775631745193,127.052904723378
코레일,1호선,백운,인천광역시 부평구 마장로 55번길 14,37.4832252226726,126.70727338322
코레일,1호선,병점,경기도 화성시 떡전골로 97,37.2068124983563,127.03331045897
코레일,1호선,보산,경기도 동두천시 평화로 2539,37.9143185033452,127.057237110508
코레일,1호선,봉명,충청남도 천안시 동남구 차돌로 51,36.8012573235829,127.135835679685
코레일,1호선,부개,인천광역시 부평구 수변로 22,37.4883181353962,126.740251327956
코레일,1호선,부천,경기도 부천시 부천로 1,37.4840382748897,126.782648899659
코레일,1호선,부평,인천광역시 부평구 광장로 16,37.4895676659869,126.72335064425
코레일,1호선,서동탄,경기도 오산시 외삼미로 15번길 75-60,37.1959264123992,127.052133990784
코레일,1호선,서정리,경기도 평택시 탄현로51,37.0570033704623,127.053006355073
코레일,1호선,석계,서울특별시 노원구 화랑로 341,37.6153059403184,127.065647254398
코레일,1호선,석수,경기도 안양시 만안구 경수대로 1431,37.4343424740399,126.902529209911
코레일,1호선,성균관대,경기도 수원시 장안구 서부로 2149,37.3001849525656,126.972261276335
코레일,1호선,성환,충청남도 천안시 서북구 성환읍 성환1로 237-5,36.9167659166842,127.126731508304
코레일,1호선,세류,경기도 수원시 권선구 정조로 393-1(정자동 세류역사),37.2446548766964,127.01397825425
코레일,1호선,세마,경기도 오산시 세마역로 88,37.1869917898194,127.043062518202
코레일,1호선,소사,경기도 부천시 소사구 경인로 363,37.4824529147475,126.796018552602
코레일,1호선,소요산,경기도 동두천시 평화로 2925,37.947953996357,127.061213156402
코레일,1호선,송내,경기도 부천시 소사구 송내대로 43,37.4876814057045,126.752770578701
코레일,1호선,송탄,경기도 평택시 송탄공원로 43,37.0752833781957,127.054299835138
코레일,1호선,수원,경기도 수원시 팔달구 덕영대로 944 924 애경백화점,37.2643495306895,127.001623628119
코레일,1호선,신길,서울특별시 영등포구 영등포로 327,37.5170318506784,126.917224932059
코레일,1호선,신도림,서울특별시 구로구 새말로 117-21,37.5087701449787,126.891080501385
코레일,1호선,신이문,서울특별시 동대문구 한천로 472,37.6028888684259,127.067716768604
코레일,1호선,신창(순천향대),충남 아산시 신창면 행목로 50,36.7694887030169,126.949976619546
코레일,1호선,쌍용(나사렛대),충청남도 천안시 서북구 쌍용19로 20,36.793724274634,127.1213503702
코레일,1호선,아산,충청남도 아산시 배방읍 희망로 90,36.7920569642138,127.104120970072
코레일,1호선,안양,경기도 안양시 만안구 만안로 232,37.4014349994721,126.92300270344
코레일,1호선,양주,경기도 양주시 평화로 919,37.7736548042753,127.044790945301
코레일,1호선,역곡,경기도 부천시 역곡로 1,37.4852928857734,126.81187134356
코레일,1호선,영등포,서울특별시 영등포구 경인로 846,37.5156680341198,126.907665995469
코레일,1호선,오류동,서울시 구로구 경인로 20길 13,37.4943157045741,126.844492460222
코레일,1호선,오산,경기도 오산시 역광장로 59,37.1458776988012,127.066843316636
코레일,1호선,오산대,경기도 오산시 청학로 236,37.1693006160923,127.063064763281
코레일,1호선,온수,서울시 구로구 부일로 872,37.4924739158747,126.824038632379
